cluster_id	motif_names	motif_ids
cluster_1	ovo,prd	MA0126.1,MA0239.1
cluster_2	BEAF-32,pnr,Dref,msl-1	MA0529.2,MA0536.1,MA1456.1,MA1842.1
cluster_3	br,Elba1,Elba2,bap,onecut,Dll,Dr,lbe,lbl,Vsx2,inv,HHEX,Ubx,CG4328-RA,Abd-B,H2.0,Dbx,zen,E5,zen2,ap,ind,CG18599,pb,ems,eve,Awh,Lim3,HGTX,Vsx1,otp,btn,Dfd,Scr,Antp,ftz,abd-A,lab,CG15696-RA,Lim1,CG11294,al,CG32105,repo,exex,ro,Pph13,Rx,CG9876,OdsH,PHDP,hbn,unpg,CG32532,en,C15,B-H1,B-H2,Hmx,unc-4,CG34031,CG11085,tup,NK7.1,bsh,lms,slou,ttk,dve,Ptx1,Gsc,bcd,oc	MA0010.1,MA0011.1,MA0012.1,MA0013.1,MA1837.1,MA1838.1,MA0211.1,MA0235.1,MA0187.1,MA0188.1,MA0231.1,MA0232.1,MA0180.1,MA0229.1,MA0183.1,MA0094.2,MA0182.1,MA0165.1,MA0448.1,MA0174.1,MA0256.1,MA0189.1,MA0257.1,MA0209.1,MA0228.1,MA0177.1,MA0238.1,MA0219.1,MA0221.1,MA0167.1,MA0195.1,MA0191.1,MA0181.1,MA0236.1,MA0215.1,MA0186.1,MA0203.1,MA0166.1,MA0225.1,MA0206.1,MA0230.1,MA0176.1,MA0194.1,MA0172.1,MA0208.1,MA0178.1,MA0240.1,MA0224.1,MA0241.1,MA0200.1,MA0202.1,MA0184.1,MA0198.1,MA0457.1,MA0226.1,MA0251.1,MA0179.1,MA0220.1,MA0170.1,MA0168.1,MA0169.1,MA0192.1,MA0250.1,MA0444.1,MA0171.1,MA0248.1,MA0196.1,MA0214.1,MA0175.1,MA0245.1,MA0460.1,MA0915.1,MA0201.1,MA0190.1,MA0212.1,MA0234.1
cluster_4	hth,achi,vis,Optix,Six4,so,CG11617,caup,ara,mirr	MA0227.1,MA0207.1,MA0252.1,MA0199.1,MA0204.1,MA0246.1,MA0173.1,MA0217.1,MA0210.1,MA0233.1
cluster_5	Ets21C,Eip74EF	MA0916.1,MA0026.1
cluster_6	ct,tin,vnd	MA0218.1,MA0247.2,MA0253.1
cluster_7	hb,cad,fkh,slp1,br,br	MA0049.1,MA0216.2,MA0446.1,MA0458.1,MA0010.1,MA0011.1,MA0012.1,MA0013.1,MA0010.1,MA0011.1,MA0012.1,MA0013.1
cluster_8	dl,dl	MA0022.1,MA0023.1,MA0022.1,MA0023.1
cluster_9	gt,Pdp1	MA0447.1,MA1702.1
cluster_10	z,Trl,Clamp	MA0255.1,MA0205.2,MA1700.1
cluster_11	dmrt99B,dsx	MA1455.1,MA1836.1
cluster_12	D,br	MA0445.1,MA0010.1,MA0011.1,MA0012.1,MA0013.1
cluster_13	sna,vfl	MA0086.2,MA1462.1
cluster_14	opa,btd,hkb	MA0456.1,MA0443.1,MA0450.1
cluster_15	Bgb::run,gcm2,gcm	MA0242.1,MA0917.1,MA1840.1
cluster_16	Kr,grh	MA0452.2,MA1457.1
cluster_17	twi	MA0249.2
cluster_18	Cf2	MA0015.1
cluster_19	Deaf1	MA0185.1
cluster_20	schlank	MA0193.1
cluster_21	Hsf	MA1458.1
cluster_22	tll,exd	MA0459.1,MA0222.1
cluster_23	Mad,CTCF,brk	MA0535.1,MA0531.1,MA0213.1
cluster_24	slbo	MA0244.1
cluster_25	nub,vvl	MA0197.2,MA0254.1
cluster_26	odd	MA0454.1
cluster_27	Stat92E	MA0532.1
cluster_28	sd	MA0243.1
cluster_29	GATAd	MA1839.1
cluster_30	h	MA0449.1
cluster_31	usp	MA0016.1
cluster_32	Su(H)	MA0085.1
cluster_33	M1BP	MA1459.1
cluster_34	pho	MA1460.1
cluster_35	pan	MA0237.2
cluster_36	EcR::usp	MA0534.1
cluster_37	sv	MA1461.1
cluster_38	kni	MA0451.1
cluster_39	cnc::maf-S	MA0530.1
cluster_40	su(Hw)	MA0533.1
cluster_41	kn	MA1841.1
