cluster_id	motif_names	motif_ids
cluster_01	daf-12,klf-3,sptf-3,klu-2,egrh-1,klu-1	MA0538.2,MA2136.1,MA2155.1,MA2138.1,MA2132.1,MA2137.1
cluster_02	sma-4,pha-4,fkh-9,lin-31,fkh-2,daf-16,let-381	MA0925.2,MA0546.1,MA1440.1,MA2140.1,MA0920.2,MA1446.2,MA2139.1
cluster_03	pag-3,unc-30,ceh-36,elt-1,elt-3,elt-2,elt-7,elt-6,end-3,pqm-1,egl-27	MA2150.1,MA1443.2,MA2159.1,MA2165.1,MA0542.1,MA1701.2,MA2133.1,MA1439.2,MA2134.1,MA1703.2,MA2164.1
cluster_04	mef-2,ceh-10,lim-7,pal-1,mls-2,ceh-14,vab-7,zfh-2,mab-5,dsc-1,ceh-23,lim-4,ceh-43	MA2173.1,MA2179.1,MA1441.2,MA0924.1,MA2174.1,MA2158.1,MA0927.1,MA0928.2,MA1442.1,MA0919.2,MA2129.1,MA0923.2,MA2161.1
cluster_05	mab-3,dmd-10	MA0262.1,MA2130.1
cluster_06	ceh-22,xbp-1,mdl-1,ref-1,mxl-1,mxl-3,hlh-30,hif-1	MA0264.2,MA2156.1,MA2172.1,MA2152.1,MA2175.1,MA2176.1,MA1449.2,MA2168.1
cluster_07	odr-7,nhr-70,nhr-86	MA2149.1,MA2145.1,MA2146.1
cluster_08	odd-2,lsl-1,lsy-2	MA2148.1,MA2171.1,MA2181.1
cluster_09	sta-1,hsf-1,F10B5.3	MA2178.1,MA2169.1,MA2180.1
cluster_10	cnd-1,snai-1,lin-32	MA2163.1,MA2154.1,MA2170.1
cluster_11	ceh-38,ceh-28,ceh-39	MA1699.2,MA1445.1,MA2160.1
cluster_12	sex-1,nhr-6,nhr-25	MA2153.1,MA1451.1,MA2143.1
cluster_13	unc-86,ceh-18	MA0926.1,MA2128.1
cluster_14	ces-2,atf-2	MA0922.1,MA2127.1
cluster_15	fkh-3,ztf-6	MA2167.1,MA2187.1
cluster_16	fos-1,jun-1	MA1448.1,MA2135.1
cluster_17	tbx-37,tbx-38	MA2185.1,MA2186.1
cluster_18	atf-7,zip-8	MA1438.2,MA1704.2
cluster_19	che-1	MA0260.1
cluster_20	lin-14	MA0261.1
cluster_21	ceh-10::ttx-3	MA0263.1
cluster_22	blmp-1	MA0537.1
cluster_23	efl-1	MA0541.2
cluster_24	eor-1	MA0543.2
cluster_25	snpc-4	MA0544.1
cluster_26	hlh-1	MA0545.2
cluster_27	skn-1	MA0547.2
cluster_28	unc-62	MA0918.2
cluster_29	ceh-48	MA0921.2
cluster_30	cebp-1	MA1444.2
cluster_31	lin-54	MA1450.2
cluster_32	egl-38	MA2131.1
cluster_33	lin-48	MA2141.1
cluster_34	nhr-142	MA2142.1
cluster_35	nhr-5	MA2144.1
cluster_36	nsy-7	MA2147.1
cluster_37	pax-2	MA2151.1
cluster_38	atfs-1	MA2157.1
cluster_39	ceh-60	MA2162.1
cluster_40	ets-7	MA2166.1
cluster_41	nfya-1	MA2177.1
cluster_42	nfi-1	MA2182.1
cluster_43	nhr-33	MA2183.1
cluster_44	sox-3	MA2184.1
