cluster_id	motif_names	motif_ids
cluster_01	ARF13,ARF10,ARF25,ARF14,ARF36,ARF39,TCP14,BAD1,ASR1,ARALYDRAFT_897773,Zm00001d038683,ARALYDRAFT_496250,TCP24,TCP3,TCP4,PK10344.1,TCP5,LjTCP20,PK19717.1,cassava45561.m1,TCP16,ARALYDRAFT_495258,ARALYDRAFT_484486,ARALYDRAFT_493022,OsI_08196,TCP23,TCP19,TCP8,Glyma19g26560.1,GLYMA19G26560,VIT_15s0048g01150,LjSGA_053525.1,TCP2,StBRC1,OJ1581_H09.2,OsTCP7,TB1,TCP13,TCP17,TCP7,TCP9,TCP15,TCP20,TCP1,TCP21,TCP22	MA1686.1,MA1685.2,MA1690.2,MA1687.1,MA1695.2,MA1696.2,MA1283.2,MA2408.1,MA1812.2,MA1054.2,MA1828.2,MA1096.1,MA1286.2,MA1289.2,MA1035.1,MA2068.1,MA1067.1,MA2400.1,MA2079.1,MA2377.1,MA0587.2,MA1095.1,MA1098.1,MA1097.1,MA1050.1,MA1066.1,MA1063.2,MA1428.2,MA1019.2,MA2390.1,MA2364.1,MA2399.1,MA1064.2,MA1410.2,MA1031.2,MA2346.1,MA1430.2,MA1282.2,MA1290.1,MA1291.1,MA1285.2,MA1062.3,MA1065.3,MA1284.2,MA1287.2,MA1288.2
cluster_02	GT-4,TRB1,AT1G72740,TRB2,ASR3,P0510F09.23,OsTRBF3,ATMYB31,MYB31,MYB15,RAX3,MYB30,MYB96,MYB60,MYB94,MYB27,MYB62,MYB116,MYB57,MYB108,MYB55,MYB24,MYB92,Zm00001d035604,MYB107,MYB93,MYB121,MYB59,FaEOBII,MYB99,MYB3,PK06182.1,MYB61,MYB4,PK21166.1,MYB111,MYB46,MYB67,MYB41,MYB49,MYB43,MYB39,MYB80,MYB40,MYB74,MYB17,MYB51,MYB83,MYB58,MYB63,MYB10,MYB13	MA1368.3,MA2032.2,MA1353.2,MA1355.2,MA1733.2,MA1030.2,MA2404.1,MA1738.1,MA2371.1,MA0574.1,MA0576.2,MA1768.2,MA2030.2,MA1774.2,MA1781.2,MA1292.2,MA1294.2,MA1764.2,MA1293.2,MA2026.2,MA1041.1,MA1037.2,MA1780.2,MA1829.2,MA2007.2,MA2025.2,MA1765.2,MA1042.1,MA1408.2,MA2008.2,MA1038.2,MA2354.1,MA1775.2,MA1039.1,MA2083.1,MA1036.1,MA1040.1,MA1776.2,MA1771.2,MA2028.2,MA1772.2,MA1769.2,MA1778.2,MA1770.2,MA1777.2,MA1766.2,MA1773.2,MA1779.2,MA2042.2,MA2024.2,MA1762.2,MA2041.2
cluster_03	DOF4.5,DOF4.3,PK20317.1,PHYPADRAFT_153324,e_gw1.392.16.1,PK10955.1,PK23009.1,PK20555.1,PK03929.1,PK23763.1,DOF3.1,PK01144.1,PK15337.1,DOF1.8,PHYPADRAFT_38837,PpDof6,DOF2.4,PK07031.1,PHYPADRAFT_140773,e_gw1.170.52.1,DOF5.6,DOF5.3,PK16340.1,DOF5.7,Dof3,PBF,Dof2,MNB1A,DOF4.2,DOF1.7,DOF2.2,DOF4.7,CDF2,DOF3.5,DOF5.4,CDF3,DOF2.5,DOF1.6	MA1269.2,MA1747.2,MA2081.1,MA0989.2,MA2383.1,MA2069.1,MA2084.1,MA2356.1,MA2058.1,MA2085.1,MA2379.1,MA2056.1,MA2070.1,MA0981.2,MA1022.2,MA2394.1,MA0982.2,MA2062.1,MA0987.2,MA2381.1,MA0983.2,MA1071.2,MA2073.1,MA0984.2,MA0021.1,MA0064.1,MA0020.2,MA0053.1,MA1273.2,MA1277.2,MA1272.3,MA2380.1,MA0973.2,MA1276.2,MA1280.2,MA0974.3,MA0977.1,MA1275.2
cluster_04	ZHD14,HSFB3,HSFA6A,HSFA1E,HSFA4A,HHO5,HSFA1B,HSFB4,HSFB2A,HSFB2B,PK26523.1,KAN1,AT1G14600,HHO3,MYR2,HHO2,HHO6,PHL2,Zm00001d015407,HRS1,KAN4,EFM,PHL11,PHL4,KAN2,AT2G40260,AT2G38300,PHL12,PHL7,PHL1	MA2369.1,MA1761.2,MA1760.1,MA1758.2,MA1759.2,MA1164.2,MA2019.2,MA2020.2,MA1665.3,MA1666.3,MA2090.1,MA1027.2,MA1706.2,MA1386.3,MA1168.2,MA1390.3,MA1165.3,MA1388.2,MA1830.2,MA1387.2,MA1028.1,MA1167.2,MA1163.3,MA2023.2,MA1383.2,MA1385.2,MA1735.2,MA1166.2,MA1384.1,MA1389.2
cluster_05	WIP5,AT1G19000,AT5G61620,AT5G56840,AT2G38090,AT3G10580,At3g11280,AT5G05790,SRM1,YAB4,DIV1,AT1G74840,Zm00001d044785,Zm00001d024644,Zm00001d044409,AT5G04760,NID1,AT4G09450,KUA1,PK23829.1	MA2367.1,MA1400.2,MA1189.2,MA1195.2,MA1193.2,MA1194.2,MA1188.1,MA1196.2,MA1681.2,MA1186.2,MA1192.2,MA1397.2,MA1827.2,MA2106.1,MA1825.2,MA2031.2,MA1793.2,MA2103.1,MA1398.3,MA2359.1
cluster_06	ZHD9,TCX3,TSO1,TCX2,SOL1,TCX6	MA1328.1,MA1682.2,MA1161.1,MA1162.1,MA1379.1,MA1380.1
cluster_07	CAMTA5,GT-3a,bHLH18,LRL2,DYT1,bHLH77,NAC68,BHLH122,bHLH112,OsFBH1,bHLH80,bHLH130,HY5,DPBF3,ZmbZIP96,GBF2,OsbZIP42,ABF1,BZIP16,BZIP68,BZIP28,BHLH72,PIF4,ABI5,PK24205.1,GBF3,GLYMA-06G314400,GLYMA-13G317000,ABF3,PK23964.1,GBF1,BHLH104,BZR2,BMY2,BAM8,BZR1,BEH3,BEH4,BEH2,Zm00001d034298,ABF4,estExt_Genewise1.C_2060077,HYH,BZIP63,PK27149.1,ILR3,PK20225.1,BEE2,PIF1,URI,O11,BIM2,BPE,bHLH74,BIM3,PHYPADRAFT_143875,e_gw1.209.40.1,MYC3,PHYPADRAFT_72483,PK24978.1,ABF2,PK18009.1,bHLH34,UNE10,PK07858.1,PK01630.1,HBI1,PK06517.1,BHLH49,PK03576.1,PHYPADRAFT_48267,PHYPA_008731,MYC4,PK18474.1,PIF3,SPT,EmBP-1,OJ1058_F05.8,Os05g0437700,PK09702.1,PK05451.1,PK18401.1,TSAR2,TSAR1,AIB,bHLH78,PK15505.1,MYC2,BHLH3,BHLH13,PIF5,BIM1,GLYMA-13G317000,CAMTA2,CAMTA3,MYB124,CAMTA1,FHY3,FAR1	MA2376.1,MA1207.2,MA1361.2,MA1363.1,MA0580.1,MA1362.2,MA2051.2,MA1739.2,MA0961.2,MA2350.1,MA1357.2,MA1358.2,MA0551.2,MA1338.3,MA2413.1,MA1672.2,MA2422.1,MA0570.3,MA1349.2,MA0968.3,MA1344.2,MA1364.2,MA0561.1,MA0931.2,MA2087.1,MA1351.3,MA1808.2,MA1811.2,MA0930.3,MA2086.1,MA2389.1,MA0960.1,MA0549.2,MA2375.1,MA2014.2,MA0550.3,MA1333.2,MA1331.2,MA1332.2,MA1834.2,MA1659.2,MA2384.1,MA1425.2,MA1745.2,MA2092.1,MA2397.1,MA2080.1,MA0956.2,MA0552.2,MA2342.1,MA1816.2,MA0965.3,MA1359.3,MA1360.3,MA0966.2,MA0988.2,MA2382.1,MA0568.2,MA1011.2,MA2407.1,MA0941.2,MA2075.1,MA0962.2,MA1074.2,MA2064.1,MA2057.1,MA1025.2,MA2061.1,MA1740.2,MA2406.1,MA1021.2,MA2393.1,MA0569.2,MA2077.1,MA0560.2,MA1061.2,MA0128.1,MA1033.1,MA2401.1,MA2067.1,MA2060.1,MA2076.1,MA1412.2,MA1411.2,MA0959.1,MA0963.1,MA2071.1,MA0566.1,MA0957.1,MA0958.1,MA0562.1,MA0964.3,MA2105.1,MA0969.2,MA0970.2,MA1426.2,MA1197.2,MA0557.2,MA1382.2
cluster_08	IDD4,IDD6,IDD6,GAF1,IDD5,IDD7,SGR5,MGP,JKD,IDD1,NUC,IDD11,DOF3.4,DOF5.8,DOF5.1,CDF5,DOF3.6,DOF3.2,DOF1.5	MA1371.2,MA1160.2,MA2348.1,MA1373.1,MA1370.2,MA1374.2,MA1159.2,MA1158.2,MA1156.2,MA2396.1,MA1157.2,MA2104.1,MA1278.2,MA1267.2,MA1281.2,MA1268.2,MA1274.1,MA1270.2,MA1279.2
cluster_09	ATHB-9,ATHB-15,REV,ATHB-7,ATHB-40,ATHB-6,PK20392.1,HAT1,HAT2,ATHB-12,ATHB-5,ZAT6,ATHB-16,ATHB-51,Zm00001d005692,ATHB-20,ATHB-13,ATHB-53,HAT5,HAT22,ZHD3,ATHB-X,ATHB-4,ZHD6,ZHD5,ATHB-23,ZHD1,ZHD10,HDG11,HDG7,HDG1,ANL2,AHL12,AHL13,AHL20,AHL25	MA0573.2,MA1026.3,MA2344.1,MA0954.3,MA1214.2,MA0953.2,MA2082.1,MA1024.2,MA1198.2,MA0950.1,MA0110.4,MA2052.2,MA0951.1,MA0952.1,MA1824.2,MA1209.2,MA1212.2,MA1215.2,MA0008.4,MA1210.3,MA1213.3,MA1211.2,MA1406.2,MA1330.2,MA1326.2,MA1327.3,MA1329.3,MA1807.2,MA0990.2,MA1757.2,MA1369.2,MA1375.2,MA0932.1,MA2374.1,MA0933.1,MA0934.1
cluster_10	GT-2,OS02G0104500,OsMSL08,AT5G47660,DF1,GTL1,WRKY1,NLP7,WRKY7,WRKY27,WRKY11,WRKY21,WRKY8,WRKY3,WRKY26,WRKY24,WRKY46,WRKY33,WRKY17,WRKY22,WRKY65,WRKY70,WRKY14,WRKY29,WRKY50,WRKY59,WRKY45,WRKY71,WRKY48,WRKY47,WRKY30,WRKY55,WRKY12,WRKY25,WRKY38,WRKY23,WRKY6,WRKY42,WRKY20,WRKY15,WRKY31,WRKY40,WRKY18,WRKY63,WRKY43,WRKY57,PK05432.1,WRKY51,WRKY62,WRKY75,WRKY28,WRKY53,PK25870.1,WRKY2,WRKY60	MA1208.2,MA2345.1,MA2405.1,MA1365.3,MA1366.2,MA1661.2,MA0589.2,MA1794.2,MA1313.2,MA1318.2,MA1306.2,MA1079.3,MA1094.3,MA1309.1,MA1297.2,MA1315.2,MA1296.2,MA1301.2,MA1299.2,MA1303.2,MA1302.2,MA1308.2,MA1314.2,MA1298.2,MA1317.2,MA1304.2,MA1087.3,MA1316.2,MA1088.2,MA1312.2,MA1083.3,MA1305.2,MA1075.1,MA1081.3,MA1084.1,MA1080.1,MA1300.2,MA1310.2,MA1295.2,MA1076.3,MA1307.3,MA1085.3,MA1077.2,MA1092.2,MA1086.2,MA1089.2,MA2059.1,MA2368.1,MA1091.1,MA1093.2,MA1311.3,MA1805.2,MA2089.1,MA1078.2,MA1090.2
