cluster_id	motif_names	motif_ids
cluster_01	NFkb,Rel,Fli-Erg-c,Etv1/4/5,Fli-Erg-a,Erf-a,Fli-Erg-b	MA1902.2,MA1911.2,MA1857.2,MA1854.2,MA1855.2,MA1853.2,MA1856.2
cluster_02	Pax2-5-8-a,Creb1,Fos-b	MA2113.1,MA1849.2,MA1858.2
cluster_03	AP4,large-Maf,small-Maf	MA1843.2,MA1894.2,MA1913.2
cluster_04	FoxL2,FoxQ,FoxG,FoxF,FoxD-b,FoxK,FoxI-c,FoxM,FoxE,FoxI-a,FoxO,FoxA-b,FoxB	MA1870.2,MA1873.2,MA1865.2,MA1864.2,MA1862.2,MA1869.2,MA1868.2,MA1871.2,MA1863.2,MA1866.2,MA1872.2,MA1860.2,MA1861.2
cluster_05	Tbx15/18/22,Tbox-a,Tbox-b,Brachyury,Tbx2/3,Macho-1,Klf3/8/12,Klf5-like	MA1921.2,MA1919.2,MA1920.2,MA1846.2,MA1922.2,MA0118.2,MA1891.2,MA1892.2
cluster_06	Otx,Cdx,Otp,Hnf1,Lmx-b,Tlx,Arid3,Hex,Pax6,Nk-3,Nkx3,Hmbox1,Rax,Uncx-b,Prop,Hox1,Lhx3/4,Isx,Atbf,Mnx,Nk-1,Msx,Bsx,Emx,Hox5,Dlx-b,Dlx-c,Hox4,Meox,Hox3,Noto	MA1908.2,MA2110.1,MA1907.2,MA1882.2,MA1896.2,MA1924.2,MA2109.1,MA1879.2,MA2115.1,MA1904.2,MA1905.2,MA1881.2,MA1910.2,MA1925.2,MA1909.2,MA1883.2,MA1895.2,MA1889.2,MA1844.2,MA1900.2,MA1903.2,MA1901.2,MA1847.2,MA1852.2,MA1886.2,MA1850.2,MA1851.2,MA1885.2,MA1898.2,MA1884.2,MA1906.2
cluster_07	Hes-c,Hes-b,Hey,Max,Mitf,Usf,Atoh7,Snail,Tcf3-4-12	MA1878.2,MA1877.2,MA1880.2,MA1897.2,MA1899.2,MA1926.2,MA1845.2,MA1914.2,MA1923.2
cluster_08	SoxC,SoxB2,SoxF,Pax3-7-like,Pou4	MA1917.2,MA1916.2,MA1918.2,MA2114.1,MA2116.1
cluster_09	Six3/6,GATA-a,GATA1/2/3	MA1912.2,MA1874.2,MA1875.2
cluster_10	FoxA-a,FoxI-b	MA1859.2,MA1867.2
cluster_11	Klf15,Klf6-7-like	MA1890.1,MA1893.1
cluster_12	Cebpg	MA1848.2
cluster_13	Gsx	MA1876.1
cluster_14	Hsf1-2-4	MA1887.2
cluster_15	Irf-b	MA1888.2
cluster_16	SoxB1	MA1915.2
cluster_17	YY1-2	MA1927.2
cluster_18	HNF4	MA2111.1
cluster_19	Meis	MA2112.1
