cluster_id	motif_names	motif_ids
cluster_001	DMRT3,DMRTA2,DMRTC2,DMRTA1,Spz1,Six3,PKNOX1,PBX3,MEIS1,MEIS2,MEIS3,ZNF274,BNC2,BATF3,Atf3,BATF::JUN,BATF,BACH2,FOS,Jun,JUN::JUNB,FOSL1::JUND,FOS::JUNB,FOSL2::JUND,FOSB::JUNB,FOSL2::JUNB,FOSL1::JUN,FOS::JUND,FOSL1::JUNB,FOS::JUN,FOSL2::JUN,BACH1,JDP2,FOSL1,JUNB,JUND,FOSL2,NFE2,MAF,MAFA,MAFK,MAFG::NFE2L1,Nfe2l2,MAF::NFE2,Bach1::Mafk,Mafg	MA0610.2,MA1478.2,MA1479.2,MA1707.2,MA0111.1,MA0631.2,MA0782.3,MA1114.2,MA0498.3,MA0774.1,MA0775.2,MA1592.2,MA1928.2,MA0835.3,MA1988.2,MA0462.3,MA1634.2,MA1101.3,MA0476.2,MA0489.3,MA1132.2,MA1142.2,MA1134.2,MA1144.2,MA1135.2,MA1138.2,MA1128.2,MA1141.2,MA1137.2,MA0099.4,MA1130.2,MA1633.2,MA0655.1,MA0477.3,MA0490.3,MA0491.3,MA0478.2,MA0841.2,MA1520.2,MA1521.2,MA0496.4,MA0089.3,MA0150.3,MA0501.2,MA0591.2,MA0659.4
cluster_002	NRL,Mafb,MAFF,Pou5f1::Sox2,POU2F1::SOX2,POU3F2,POU3F3,POU2F2,POU1F1,POU5F1,POU3F1,POU2F3,POU3F4,POU2F1,POU5F1B	MA0842.3,MA0117.3,MA0495.4,MA0142.1,MA1962.1,MA0787.1,MA0788.1,MA0507.3,MA0784.3,MA1115.2,MA0786.2,MA0627.3,MA0789.1,MA0785.2,MA0792.1
cluster_003	ZNF454,NFIB,NFIC,NFIC::TLX1,NFIX	MA1712.2,MA1643.2,MA1527.2,MA0119.1,MA1528.2
cluster_004	NKX2-2,NKX2-5,MSANTD3,Nkx2-1,NKX2-3,NKX2-8,NKX2-4,Nkx3-1,ISL2,PAX5,Npas4,HES7,MXI1,CLOCK,Arnt,MAX,Mlxip,MNT,HIF1A,Ahr::Arnt,ARNT::HIF1A,EPAS1,TCFL5,MYCN,MYC,Npas2,BHLHE40,SOHLH2,MAX::MYC,HES6,HES5,HEY1,Creb3l2,HES2,HEY2,HES1,MLXIPL,TFEB,TFEC,Arntl,ARNT2,USF1,SREBF1,MLX,SREBF2,MITF,BHLHE41,USF2,TFE3	MA1645.2,MA0063.3,MA1523.2,MA1994.2,MA0672.2,MA0673.2,MA2003.2,MA0124.3,MA0914.2,MA0014.4,MA1995.2,MA0822.1,MA1108.3,MA0819.3,MA0004.1,MA0058.4,MA0622.2,MA0825.2,MA1106.2,MA0006.2,MA0259.2,MA2325.1,MA0632.3,MA0104.5,MA0147.4,MA0626.2,MA0464.3,MA1560.2,MA0059.2,MA1493.1,MA0821.2,MA0823.1,MA0608.1,MA0616.3,MA0649.2,MA1099.3,MA0664.2,MA0692.2,MA0871.3,MA0603.2,MA1464.2,MA0093.4,MA0829.3,MA0663.1,MA0828.3,MA0620.4,MA0636.1,MA0526.5,MA0831.3
cluster_005	RFX4,RFX7,Rfx6,ZNF547,RFX1,RFX3,RFX5,RFX2	MA0799.3,MA1554.2,MA1724.2,MA2334.1,MA0509.3,MA0798.3,MA0510.3,MA0600.3
cluster_006	FOXD3,FOXD2,FOXE1,Foxl2,FOXC2,FOXC1,FOXB1,BARHL2,BARHL1,Foxq1,FOXA2,FOXS1,FOXP3,FOXO4,FOXO6,FOXD1,Foxo1,Foxo3,FOXK1,FOXI1,FOXK2,FOXP4,FOXP1,FOXA3,FOXL1,Foxf1,Foxj3,FOXF2,FOXP2,FOXA1,FOXN3,FOXG1,Foxj2,HOXC11,HOXD12,HOXC12,HOXD10,HOXC13,HOXC10,HOXC9,HOXB9,HOXD11,Hoxa11,Hoxd13,CDX2,Hoxa13,HOXB13,CDX1,CDX4,HOXA10,HOXD9	MA0041.3,MA0847.4,MA1487.3,MA1607.2,MA0846.2,MA0032.2,MA0845.1,MA0635.2,MA0877.4,MA0040.2,MA0047.4,MA2118.1,MA0850.1,MA0848.1,MA0849.1,MA0031.2,MA0480.3,MA0157.4,MA0852.3,MA0042.2,MA1103.3,MA2117.1,MA0481.4,MA1683.2,MA0033.2,MA1606.2,MA0851.2,MA0030.2,MA0593.2,MA0148.5,MA1489.1,MA0613.1,MA0614.1,MA0651.3,MA0873.2,MA0906.2,MA1506.2,MA0907.2,MA0905.2,MA0485.3,MA1503.2,MA0908.2,MA0911.2,MA0909.4,MA0465.3,MA0650.4,MA0901.3,MA0878.3,MA1473.2,MA0899.2,MA0913.3
cluster_007	SOX21,Sox1,SOX12,Dmrt1,SOX10,Sox11,SRY,SOX15,SOX2,Sox3,SOX13,SOX4,SOX8,SOX18,SOX9,Sox5,SOX14,Sox6,Sox17,Sox7	MA0866.1,MA0870.1,MA1561.2,MA1603.2,MA0442.3,MA0869.3,MA0084.2,MA1152.2,MA0143.5,MA0514.3,MA1120.2,MA0867.3,MA0868.3,MA1563.2,MA0077.2,MA0087.3,MA1562.2,MA0515.1,MA0078.3,MA2095.1
cluster_008	DUX4,Dux,DUXA,PHOX2B,PHOX2A,PROP1,Hmx2,Nkx3-2,VENTX,Hmx1,Hmx3,Dmbx1,DPRX,RHOXF1,PITX3,Crx,PITX1,OTX1,GSC,GSC2,OTX2,PITX2,NFYB,Nanog,NFYA,NFYC,Lhx1,Alx4,Arx,Isl1,SATB1,HOXB4,HOXC4,HOXD4,VAX2,HOXB2,NKX6-2,GSX1,PDX1,HOXB3,MNX1,EVX1,EVX2,Lhx8,HOXA2,POU6F1,Lhx4,EMX1,EMX2,HOXC8,HOXB5,HOXA1,HOXA7,BARX1,BSX,LHX2,EN1,DRGX,SHOX,MIXL1,ALX3,UNCX,PRRX1,RAX2,TLX2,ISX,Shox2,GBX2,RAX,HESX1,Nobox,LBX2,DLX6,Dlx3,Dlx4,DLX1,MSX2,MSX1,Msx3,GSX2,HOXA4,HOXB7,HOXA6,HOXB6,HOXD8,HOXB8,NKX6-1,mix-a,LMX1A,MEOX1,HOXA3,MEOX2,HOXB1,EN2,LBX1,LHX5,GBX1,ESX1,PRRX2,LHX9,NOTO,VAX1,VSX1,VSX2,Dlx2,Dlx5,HOXA5,HOXD3,LMX1B,PAX4,LHX6,Alx1,ARGFX,POU6F2,NKX6-3,POU6F1	MA0468.1,MA0611.3,MA0884.2,MA0681.3,MA0713.1,MA0715.1,MA0897.2,MA0122.4,MA0724.1,MA0896.2,MA0898.2,MA0883.2,MA1480.2,MA0719.2,MA0714.2,MA0467.3,MA0682.3,MA0711.2,MA0648.2,MA0891.2,MA0712.3,MA1547.2,MA0502.3,MA2339.1,MA0060.4,MA1644.2,MA1518.3,MA0853.2,MA0874.2,MA1608.2,MA1963.2,MA1499.2,MA1504.2,MA1507.2,MA0723.3,MA0902.3,MA0675.2,MA0892.2,MA0132.3,MA0903.2,MA0707.3,MA0887.2,MA0888.2,MA0705.2,MA0900.3,MA0628.2,MA0704.2,MA0612.3,MA0886.2,MA1505.2,MA0904.3,MA1495.2,MA1498.3,MA0875.2,MA0876.2,MA0700.3,MA0027.3,MA1481.2,MA0630.2,MA0662.2,MA0634.2,MA0721.2,MA0716.2,MA0717.2,MA1577.2,MA0654.2,MA0720.2,MA0890.2,MA0718.2,MA0894.2,MA0125.2,MA0699.2,MA0882.2,MA0880.2,MA0881.2,MA0879.3,MA0708.3,MA0666.3,MA0709.2,MA0893.3,MA1496.2,MA1501.2,MA1497.2,MA1500.2,MA0910.3,MA1502.2,MA0674.2,MA0621.2,MA0702.3,MA0661.2,MA2119.1,MA0706.2,MA2093.1,MA0642.3,MA0618.2,MA1519.2,MA0889.2,MA0644.3,MA0075.4,MA0701.3,MA0710.2,MA0722.2,MA0725.2,MA0726.2,MA0885.3,MA1476.3,MA0158.2,MA0912.2,MA0703.3,MA0068.2,MA0658.2,MA0854.2,MA1463.2,MA0793.2,MA1530.2,MA1549.2
cluster_009	BACH2,PROX1,Gmeb1,GMEB2,CREB3L4,CREB3L1,ATF6,CREB3,XBP1,SREBF1,SREBF2,CREB1,FOS,JUND,JUN::JUNB,FOSB::JUN,JUNB,JUN,ATF2,CREM,JDP2,Creb5,FOS::JUN,ATF3,FOSL2::JUN,FOSL2::JUND,ATF7,FOSB::JUNB,FOSL1::JUN,FOSL2::JUNB,Atf1,FOSL1::JUND,CREB3L4	MA1470.2,MA0794.1,MA0615.2,MA0862.1,MA1474.2,MA0839.2,MA1466.2,MA0638.2,MA0844.2,MA0595.1,MA0596.1,MA0018.5,MA1951.2,MA0492.2,MA1133.2,MA1127.1,MA1140.3,MA0488.2,MA1632.2,MA0609.3,MA0656.2,MA0840.2,MA1126.2,MA0605.3,MA1131.2,MA1145.2,MA0834.2,MA1136.1,MA1129.1,MA1139.2,MA0604.1,MA1143.2,MA1475.2
cluster_010	ETV2::HOXB13,ELK1::HOXB13,ERF::HOXB13,HOXD12::ELK1,ETV5::HOXA2,ETV2::DRGX,ETV5::DRGX,HOXB2::ELK1,ELK1::HOXA1,FLI1::DRGX,ELF4,Zbtb2,ETV2,ETS2,ETS1,FLI1,ETV3,FEV,ERF,ETV4,ETV5,ELK1,ELK3,SPDEF,ELF2,Elf5,ETV1,ZNF175,GABPA,Erg,EHF,ELF3,ELF1,Ikzf3,ETV6,ETV7,ZBTB11,ELK4,ZBTB7A,ZIM3,SPIC,Spi1,SPIB,IKZF1,ETV5::FOXO1,ERF::FOXI1,ETV2::FOXI1,FOXJ2::ELF1,FLI1::FOXI1,FOXO1::ELK1,FOXO1::ELK3,FOXO1::ELF1,FOXO1::FLI1,ERF::FOXO1,ETV5::FOXI1	MA1943.2,MA1932.2,MA1937.2,MA1958.2,MA1948.2,MA1940.2,MA1944.2,MA1957.1,MA1931.1,MA1949.2,MA0641.1,MA2340.1,MA0762.2,MA1484.2,MA0098.4,MA0475.3,MA0763.2,MA0156.4,MA0760.2,MA0764.4,MA0765.4,MA0028.3,MA0759.3,MA0686.2,MA1483.3,MA0136.4,MA0761.3,MA2332.1,MA0062.4,MA0474.4,MA0598.4,MA0640.3,MA0473.4,MA1992.2,MA0645.2,MA1708.2,MA2329.1,MA0076.3,MA0750.3,MA1709.2,MA0687.2,MA0080.7,MA0081.3,MA1508.2,MA1947.2,MA1935.2,MA1942.2,MA1952.2,MA1950.2,MA1954.2,MA1955.2,MA1953.2,MA1956.2,MA1936.2,MA1946.2
