cluster_id	motif_names	motif_ids
cluster_1	NCU02182,ADR1,MIG1,ZMS1,TDA9,rst2,cre-1,YPR022C,MIG2,MIG3,RGM1,MSN2,MSN4,REI1,YER130C,GIS1,msn-1,RPH1	MA1434.1,MA0268.1,MA0337.1,MA0441.1,MA0431.1,MA1431.1,MA1432.1,MA0436.1,MA0338.1,MA0339.1,MA0366.1,MA0341.1,MA0342.1,MA0364.1,MA0423.1,MA0306.1,MA1433.1,MA0372.1
cluster_2	wc-1,YPR013C,ECM23,GAT4,SRD1,GAT3	MA1437.1,MA0434.1,MA0293.1,MA0302.1,MA0389.1,MA0301.1
cluster_3	SNT2,STP3,STP4	MA0384.1,MA0396.1,MA0397.1
cluster_4	TOS8,INO2,INO4,MATALPHA2,HMRA2	MA0408.1,MA0321.1,MA0322.1,MA0328.2,MA0318.1
cluster_5	TOD6,DOT6	MA0350.1,MA0351.1
cluster_6	STB4,CEP3,ERT1,RDR1,HAL9,ASG1,CAT8,YER184C,SIP4,ECM22,RGT1,YPR196W,EDS1,STB5,OAF1,URC2,YRR1,LYS14,YKL222C,YLR278C,YRM1,YNR063W,PDR8	MA0391.1,MA0282.1,MA0420.1,MA0360.1,MA0311.1,MA0275.1,MA0280.1,MA0424.1,MA0380.1,MA0292.1,MA0367.1,MA0437.1,MA0294.1,MA0392.1,MA0348.1,MA0422.1,MA0439.1,MA0325.1,MA0428.1,MA0430.1,MA0438.1,MA0432.1,MA0354.1
cluster_7	HAC1,TYE7,nuc-1,PHO4	MA0310.1,MA0409.1,MA1436.1,MA0357.1
cluster_8	CRZ1,SKN7,YLL054C,RDS1	MA0285.1,MA0381.1,MA0429.1,MA0361.1
cluster_9	FHL1,SWI4,MBP1,MBP1::SWI6	MA0295.1,MA0401.1,MA0329.1,MA0330.1
cluster_10	MET31,MET32,RPN4,MET28,MET4	MA0333.1,MA0334.1,MA0373.1,MA0332.1,MA0335.1
cluster_11	SWI5,ACE2	MA0402.1,MA0267.1
cluster_12	HAP1,GLN3,GZF3,DAL80,GAT1	MA0312.2,MA0307.1,MA0309.1,MA0289.1,MA0300.1
cluster_13	SOK2,PHD1	MA0385.1,MA0355.1
cluster_14	GCR1,GCR2	MA0304.1,MA0305.1
cluster_15	NSI1,NHP10,PUT3	MA0421.1,MA0344.1,MA0358.1
cluster_16	CIN5,SKO1,YAP1,YAP6	MA0284.2,MA0382.2,MA0415.1,MA0418.1
cluster_17	YAP7,CAD1,NCU00019,FKH2,HCM1	MA0419.1,MA0279.2,MA0929.1,MA0297.1,MA0317.1
cluster_18	IME1,nit-4,PDR3,STP1,CHA4,UGA3,RSC30,SUT1,RSC3	MA0320.1,MA1435.1,MA0353.1,MA0394.1,MA0283.1,MA0410.1,MA0375.1,MA0399.1,MA0374.1
cluster_19	SUT2,GSM1	MA0400.1,MA0308.1
cluster_20	TEA1,DAL82	MA0405.1,MA0291.1
cluster_21	LEU3,ASH1,MCM1	MA0324.1,MA0276.1,MA0331.1
cluster_22	YAP3,CST6	MA0416.1,MA0286.1
cluster_23	MGA1,SFL1	MA0336.1,MA0377.1
cluster_24	HAP2,RIM101	MA0313.1,MA0368.1
cluster_25	ARG80,GCN4,ARG81	MA0271.1,MA0303.2,MA0272.1
cluster_26	CBF1,RTG3	MA0281.2,MA0376.1
cluster_27	PHO2,YHP1,YOX1,SPT2,ARR1	MA0356.1,MA0426.1,MA0433.1,MA0387.1,MA0274.1
cluster_28	XBP1,RDS2	MA0414.1,MA0362.1
cluster_29	TBS1,OPI1	MA0404.1,MA0349.1
cluster_30	STE12,HSF1	MA0393.1,MA0319.1
cluster_31	CUP9,HMRA1	MA0288.1,MA0327.1
cluster_32	SPT23,AZF1	MA0388.1,MA0277.1
cluster_33	STB3,SFP1	MA0390.1,MA0378.1
cluster_34	HAP3,HAP5	MA0314.2,MA0316.1
cluster_35	YGR067C,IXR1	MA0425.1,MA0323.1
cluster_36	SUM1	MA0398.1
cluster_37	NRG1,TBF1	MA0347.2,MA0403.2
cluster_38	YAP5,MOT3	MA0417.1,MA0340.1
cluster_39	BAS1	MA0278.1
cluster_40	REB1,UME6	MA0363.2,MA0412.2
cluster_41	RFX1	MA0365.1
cluster_42	ABF2	MA0266.1
cluster_43	AFT2	MA0270.1
cluster_44	FKH1	MA0296.1
cluster_45	NDT80	MA0343.1
cluster_46	SPT15	MA0386.1
cluster_47	RLM1	MA0369.1
cluster_48	CUP2	MA0287.1
cluster_49	ROX1	MA0371.1
cluster_50	ZAP1	MA0440.1
cluster_51	RME1	MA0370.1
cluster_52	DAL81	MA0290.1
cluster_53	UPC2,MOT2	MA0411.1,MA0379.1
cluster_54	TEC1	MA0406.1
cluster_55	ARO80	MA0273.1
cluster_56	PDR1	MA0352.2
cluster_57	MAC1	MA0326.1
cluster_58	USV1	MA0413.1
cluster_59	YPR015C	MA0435.1
cluster_60	RAP1	MA0359.2
cluster_61	AFT1	MA0269.1
cluster_62	STP2	MA0395.1
cluster_63	ABF1	MA0265.2
cluster_64	GAL4	MA0299.1
cluster_65	THI2	MA0407.1
