cluster_id	motif_names	motif_ids
cluster_1	Otx,Gsx,Nk-1,Bsx,Msx,Emx,Hox5,Otp,Isx,Prop,Hmbox1,Lmx-b,Uncx-b,Tlx,Nkx3,Rax,Hox1,Lhx3/4,Atbf,Hnf1,Mnx,Hex,Nk-3,Hox3,Noto,Hox4,Meox,Dlx-c,Dlx-b	MA1908.1,MA1876.1,MA1903.1,MA1847.1,MA1901.1,MA1852.1,MA1886.1,MA1907.1,MA1889.1,MA1909.1,MA1881.1,MA1896.1,MA1925.1,MA1924.1,MA1905.1,MA1910.1,MA1883.1,MA1895.1,MA1844.1,MA1882.1,MA1900.1,MA1879.1,MA1904.1,MA1884.1,MA1906.1,MA1885.1,MA1898.1,MA1851.1,MA1850.1
cluster_2	FoxA-b,FoxB,FoxI-c,FoxO,FoxE,FoxI-a,FoxM,FoxG,FoxF,FoxI-b,FoxK,FoxD-b,FoxL2,FoxA-a,FoxQ	MA1860.1,MA1861.1,MA1868.1,MA1872.1,MA1863.1,MA1866.1,MA1871.1,MA1865.1,MA1864.1,MA1867.1,MA1869.1,MA1862.1,MA1870.1,MA1859.1,MA1873.1
cluster_3	Erf-a,Fli-Erg-b,Fli-Erg-a,Etv1/4/5,Fli-Erg-c	MA1853.1,MA1856.1,MA1855.1,MA1854.1,MA1857.1
cluster_4	SoxB1,SoxC,SoxB2,SoxF	MA1915.1,MA1917.1,MA1916.1,MA1918.1
cluster_5	large-Maf,small-Maf	MA1894.1,MA1913.1
cluster_6	Hes-c,Hes-b,Hey,Max,Mitf,Usf	MA1878.1,MA1877.1,MA1880.1,MA1897.1,MA1899.1,MA1926.1
cluster_7	Klf15,Klf3/8/12,Klf5-like,Klf6-7-like	MA1890.1,MA1891.1,MA1892.1,MA1893.1
cluster_8	Six3/6,GATA-a,GATA1/2/3	MA1912.1,MA1874.1,MA1875.1
cluster_9	Snail,Tcf3-4-12,AP4,Atoh7	MA1914.1,MA1923.1,MA1843.1,MA1845.1
cluster_10	Tbx15/18/22,Tbx2/3,Tbox-a,Brachyury,Tbox-b	MA1921.1,MA1922.1,MA1919.1,MA1846.1,MA1920.1
cluster_11	Fos-b,Creb1	MA1858.1,MA1849.1
cluster_12	NFkb,Rel	MA1902.1,MA1911.1
cluster_13	Cebpg	MA1848.1
cluster_14	Hsf1-2-4	MA1887.1
cluster_15	Irf-b	MA1888.1
cluster_16	YY1-2	MA1927.1
cluster_17	Macho-1	MA0118.1
