cluster_id	motif_names	motif_ids
cluster_1	BACH2,NFE2,FOS,Atf3,BATF3,BATF::JUN,BATF,JDP2,BACH1,JUN::JUNB,FOSL1::JUND,FOS::JUN,FOSL2::JUND,FOSB::JUNB,FOSL2::JUNB,FOSL2,FOSL1,JUNB,JUND,FOSL1::JUNB,FOSL1::JUN,FOS::JUND,FOS::JUNB,BNC2,FOSL2::JUN,Jun,MAF::NFE2,Nfe2l2,MAF,MAFA,MAFK,MAFG::NFE2L1,Bach1::Mafk,Mafg	MA1101.2,MA1470.1,MA0841.1,MA0476.1,MA1951.1,MA0605.2,MA1988.1,MA0835.2,MA0462.2,MA1634.1,MA0655.1,MA0656.1,MA1633.2,MA1132.1,MA1133.1,MA1142.1,MA1143.1,MA0099.3,MA1126.1,MA1144.1,MA1145.1,MA1135.1,MA1136.1,MA1138.1,MA1139.1,MA0478.1,MA0477.2,MA1140.2,MA0490.2,MA0492.1,MA0491.2,MA1137.1,MA1128.1,MA1129.1,MA1141.1,MA1134.1,MA1928.1,MA1130.1,MA1131.1,MA0488.1,MA0489.2,MA0501.1,MA0150.2,MA1520.1,MA1521.1,MA0496.3,MA0089.2,MA0591.1,MA0659.3
cluster_2	ZNF684,HNF4A,HNF4G,TEAD3,TEAD4,TEAD2,TEAD1	MA1600.1,MA1494.1,MA0114.4,MA0484.2,MA0808.1,MA0809.2,MA1121.1,MA0090.3
cluster_3	Isl1,LHX2,Dlx2,Dlx5,LMX1B,Arid3b,POU6F2,POU6F1,NKX6-3,VENTX,Nobox,EN2,HOXB6,HOXB8,HOXD8,HOXA7,BARX1,BSX,NKX6-1,NKX6-2,GSX2,HOXA4,HOXB4,HOXC4,HOXD4,LBX1,MNX1,PAX4,Msx3,MSX1,MSX2,DLX1,DLX6,Dlx3,Dlx4,DRGX,ESX1,EN1,TLX2,ISX,Shox2,SHOX,PRRX1,RAX2,UNCX,LHX5,LHX9,PRRX2,HOXC8,HOXA1,HOXB5,EMX1,HOXA2,HOXA5,HOXB2,PDX1,VAX2,Lhx8,Lhx4,LMX1A,HOXD3,VAX1,VSX1,VSX2,mix-a,HOXA6,HOXB7,MEOX1,MEOX2,EVX1,EVX2,GSX1,HOXB3,MIXL1,ALX3,RAX,HESX1,LBX2,GBX1,GBX2,ARGFX,NOTO,EMX2,LHX6,POU6F1	MA1608.1,MA0700.2,MA0885.2,MA1476.2,MA0703.2,MA0601.1,MA0793.1,MA0628.1,MA1549.1,MA1530.1,MA0724.1,MA0125.1,MA0642.2,MA1500.1,MA1502.1,MA0910.2,MA1498.2,MA0875.1,MA0876.1,MA0674.1,MA0675.1,MA0893.2,MA1496.1,MA1499.1,MA1504.1,MA1507.1,MA0618.1,MA0707.2,MA0068.2,MA0709.1,MA0666.2,MA0708.2,MA0879.2,MA0882.1,MA0880.1,MA0881.1,MA1481.1,MA0644.2,MA0027.2,MA1577.1,MA0654.1,MA0720.1,MA0630.1,MA0716.1,MA0717.1,MA0721.1,MA1519.1,MA0701.2,MA0075.3,MA1505.1,MA1495.1,MA0904.2,MA0612.2,MA0900.2,MA0158.2,MA0902.2,MA0132.2,MA0723.2,MA0705.1,MA0704.1,MA0702.2,MA0912.2,MA0722.1,MA0725.1,MA0726.1,MA0621.1,MA1497.1,MA1501.1,MA0661.1,MA0706.1,MA0887.1,MA0888.1,MA0892.1,MA0903.1,MA0662.1,MA0634.1,MA0718.1,MA0894.1,MA0699.1,MA0889.1,MA0890.1,MA1463.1,MA0710.1,MA0886.1,MA0658.1,MA0628.1,MA1549.1
cluster_4	TCF7,TCF7L1,Lef1,TCF7L2,Hnf1A,HNF4A,PPARA::RXRA,NR1H2::RXRA,Nr2f6,RXRB,Rxra,RXRG,PPARD,NR2F1,THRB,Pparg::Rxra,NR2C2	MA0769.2,MA1421.1,MA0768.2,MA0523.1,MA0046.2,MA1991.1,MA1494.1,MA0114.4,MA1148.1,MA0115.1,MA0677.1,MA0728.1,MA1539.1,MA0855.1,MA1555.1,MA0512.2,MA0856.1,MA1556.1,MA1550.1,MA0017.2,MA1537.1,MA1538.1,MA1574.1,MA1575.1,MA1576.1,MA0065.2,MA0504.1,MA1536.1
cluster_5	Ddit3::Cebpa,CEBPG,ATF4,CEBPA,CEBPD,HLF,NFIL3,TEF,DBP,CEBPG,CEBPB,CEBPE	MA0019.1,MA0838.1,MA1636.1,MA0833.2,MA0102.4,MA0836.2,MA0043.3,MA0025.2,MA0843.1,MA0639.1,MA0838.1,MA1636.1,MA0466.3,MA0837.2
cluster_6	ZBTB18,TWIST1,HAND2,Atoh1,TAL1::TCF3,NEUROD1,Ptf1a,NEUROG2,Neurod2,MXI1,TFAP4,BHLHA15,OLIG1,BHLHE22,OLIG2,OLIG3,ATOH7,Atoh1,NEUROG2,NEUROG1,BHLHE23,TCF21,PKNOX2,TGIF2LX,TGIF2LY,TGIF1,TGIF2,ASCL1,TCF4,MYOD1,SNAI2,Ptf1A,Rbpjl,ZEB1,TCF12,TCF3,FIGLA,SNAI1,SNAI3,Tcf21,FERD3L,MYB,MYOG,Tcf12,Ptf1A,MYF5,Bhlha15,TFAP4,MSC,MYF6,NHLH1,BHLHE22,Neurod2,Olig2,Twist2,Ascl2,ASCL1	MA0698.1,MA1123.2,MA1638.1,MA0461.2,MA1467.2,MA0091.1,MA1109.1,MA1618.1,MA1619.1,MA1620.1,MA0669.1,MA1642.1,MA1993.1,MA0668.2,MA1108.2,MA0691.1,MA1570.1,MA0607.2,MA1472.2,MA0826.1,MA1635.1,MA0818.2,MA0678.1,MA1997.1,MA0827.1,MA1468.1,MA0461.2,MA1467.2,MA0669.1,MA1642.1,MA0623.2,MA0817.1,MA0832.1,MA1568.1,MA0783.1,MA1571.1,MA1572.1,MA0796.1,MA0797.1,MA1100.2,MA1631.1,MA0830.2,MA0499.2,MA0745.2,MA1618.1,MA1619.1,MA1620.1,MA1621.1,MA0103.3,MA1648.1,MA0521.2,MA0522.3,MA0820.1,MA1558.1,MA1559.1,MA0832.1,MA1568.1,MA1485.1,MA0100.3,MA0500.2,MA1648.1,MA0521.2,MA1618.1,MA1619.1,MA1620.1,MA1641.1,MA0607.2,MA1472.2,MA0691.1,MA1570.1,MA0665.1,MA0667.1,MA0048.2,MA1635.1,MA0818.2,MA1993.1,MA0668.2,MA0678.1,MA1997.1,MA0633.2,MA0816.1,MA1100.2,MA1631.1
cluster_7	Znf423,EBF1,Ebf2,EBF3,TFAP2A,TFAP2C,TFAP2B,TFAP2E,TFAP2B,TFAP2C,TFAP2A,TFAP2A,TFAP2B,TFAP2C	MA0116.1,MA0154.4,MA1604.1,MA1637.1,MA0810.1,MA0872.1,MA0003.4,MA0524.2,MA0815.1,MA0814.2,MA0811.1,MA0812.1,MA0813.1,MA1569.1,MA0811.1,MA0812.1,MA0813.1,MA0524.2,MA0815.1,MA0814.2,MA0810.1,MA0872.1,MA0003.4,MA0810.1,MA0872.1,MA0003.4,MA0811.1,MA0812.1,MA0813.1,MA0524.2,MA0815.1,MA0814.2
cluster_8	SOX21,Sox1,Dmrt1,SOX12,SOX14,Sox11,SOX10,SOX4,SOX2,SOX13,Sox3,Sox17,Sox5,SOX18,SOX9,Sox6,SOX15,SOX8	MA0866.1,MA0870.1,MA1603.1,MA1561.1,MA1562.1,MA0869.2,MA0442.2,MA0867.2,MA0143.4,MA1120.1,MA0514.2,MA0078.2,MA0087.2,MA1563.2,MA0077.1,MA0515.1,MA1152.1,MA0868.2
cluster_9	ELK1::SREBF2,ERF::SREBF2,SPIC,IKZF1,ETV5::FOXI1,ETV5::FOXO1,ETV2::FOXI1,FOXJ2::ELF1,ERF::FOXI1,FLI1::FOXI1,ERF::FOXO1,FOXO1::FLI1,FOXO1::ELF1,FOXO1::ELK1,FOXO1::ELK3,SPIB,Spi1,Elf5,ZBTB7A,ELF3,EHF,Ikzf3,ELF1,ETV1,GABPA,Erg,SPDEF,ETV7,ELF2,ELF4,ETV6,FLI1,ETS1,ERF,ETV3,ETV4,ELK1,ETV5,FEV,ELK4,ELK3,ETV2,ETS2,ETV2::HOXB13,FLI1::DRGX,ETV5::HOXA2,ETV2::DRGX,ETV5::DRGX,ELK1::HOXA1,HOXB2::ELK1,HOXD12::ELK1,ELK1::HOXB13,ERF::HOXB13	MA1933.1,MA1939.1,MA0687.1,MA1508.1,MA1946.1,MA1947.1,MA1942.1,UN0513.1,UN0514.1,UN0515.1,MA1952.1,MA1935.1,MA1950.1,UN0530.1,MA1936.1,MA1956.1,MA1953.1,UN0535.1,MA1954.1,UN0536.1,MA1955.1,MA0081.2,MA0080.6,MA0136.3,MA0750.2,MA0640.2,MA0598.3,MA1992.1,MA0473.3,MA0761.2,MA0062.3,MA0474.3,MA0686.1,MA1708.1,MA1483.2,MA0641.1,MA0645.1,MA0475.2,MA0098.3,MA0760.1,MA0763.1,MA0764.3,MA0028.2,MA0765.3,MA0156.3,MA0076.2,UN0118.1,MA0759.2,MA0762.1,MA1484.1,MA1943.1,MA1949.1,MA1948.1,MA1940.1,MA1944.1,MA1931.1,MA1957.1,UN0560.1,MA1958.1,MA1932.1,MA1937.1
cluster_10	BARHL1,BARHL2,FOXD3,FOXD2,FOXE1,SRY,FOXP3,FOXL1,FOXI1,FOXO4,FOXO6,FOXN3,FOXD1,FOXG1,Foxj2,Foxq1,Foxj3,Foxl2,FOXF2,FOXC2,FOXB1,FOXC1,FOXK1,FOXP2,Foxf1,Foxo1,FOXK2,FOXA2,FOXA3,FOXP1,FOXA1,Foxo3	MA0877.3,MA0635.1,MA0041.2,MA0847.3,MA1487.2,MA0084.1,MA0850.1,MA0033.2,MA0042.2,MA0848.1,MA0849.1,MA1489.1,MA0031.1,MA0613.1,MA0614.1,MA0040.1,MA0851.1,MA1607.1,MA0030.1,MA0846.1,MA0845.1,MA0032.2,MA0852.2,MA0593.1,MA1606.1,MA0480.2,MA1103.2,MA0047.3,MA1683.1,MA0481.3,MA0148.4,MA0157.3
