	MA0265.2	MA0266.1	MA0267.1	MA0268.1	MA0269.1	MA0270.1	MA0271.1	MA0272.1	MA0273.1	MA0274.1	MA0275.1	MA0276.1	MA0277.1	MA0278.1	MA0279.2	MA0280.1	MA0281.2	MA0282.1	MA0283.1	MA0284.2	MA0285.1	MA0286.1	MA0287.1	MA0288.1	MA0289.1	MA0290.1	MA0291.1	MA0292.1	MA0293.1	MA0294.1	MA0295.1	MA0296.1	MA0297.1	MA0299.1	MA0300.1	MA0301.1	MA0302.1	MA0303.2	MA0304.1	MA0305.1	MA0306.1	MA0307.1	MA0308.1	MA0309.1	MA0310.1	MA0311.1	MA0312.2	MA0313.1	MA0314.2	MA0316.1	MA0317.1	MA0318.1	MA0319.1	MA0320.1	MA0321.1	MA0322.1	MA0323.1	MA0324.1	MA0325.1	MA0326.1	MA0327.1	MA0328.2	MA0329.1	MA0330.1	MA0331.1	MA0332.1	MA0333.1	MA0334.1	MA0335.1	MA0336.1	MA0337.1	MA0338.1	MA0339.1	MA0340.1	MA0341.1	MA0342.1	MA0343.1	MA0344.1	MA0347.2	MA0348.1	MA0349.1	MA0350.1	MA0351.1	MA0352.2	MA0353.1	MA0354.1	MA0355.1	MA0356.1	MA0357.1	MA0358.1	MA0359.2	MA0360.1	MA0361.1	MA0362.1	MA0363.2	MA0364.1	MA0365.1	MA0366.1	MA0367.1	MA0368.1	MA0369.1	MA0370.1	MA0371.1	MA0372.1	MA0373.1	MA0374.1	MA0375.1	MA0376.1	MA0377.1	MA0378.1	MA0379.1	MA0380.1	MA0381.1	MA0382.2	MA0384.1	MA0385.1	MA0386.1	MA0387.1	MA0388.1	MA0389.1	MA0390.1	MA0391.1	MA0392.1	MA0393.1	MA0394.1	MA0395.1	MA0396.1	MA0397.1	MA0398.1	MA0399.1	MA0400.1	MA0401.1	MA0402.1	MA0403.2	MA0404.1	MA0405.1	MA0406.1	MA0407.1	MA0408.1	MA0409.1	MA0410.1	MA0411.1	MA0412.2	MA0413.1	MA0414.1	MA0415.1	MA0416.1	MA0417.1	MA0418.1	MA0419.1	MA0420.1	MA0421.1	MA0422.1	MA0423.1	MA0424.1	MA0425.1	MA0426.1	MA0428.1	MA0429.1	MA0430.1	MA0431.1	MA0432.1	MA0433.1	MA0434.1	MA0435.1	MA0436.1	MA0437.1	MA0438.1	MA0439.1	MA0440.1	MA0441.1	MA0929.1	MA1431.1	MA1432.1	MA1433.1	MA1434.1	MA1435.1	MA1436.1	MA1437.1
MA0265.2	0.0	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.916582	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.0125272	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941
MA0266.1	0.999381	1.18712e-12	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381	0.999381
MA0267.1	0.99941	0.99941	2.86914e-15	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.000256177	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941	0.99941
MA0268.1	0.964957	0.964957	0.964957	1.10809e-14	0.964957	0.678697	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.898809	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.123994	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.726059	0.964957	0.964957	0.00234898	0.0225364	0.015832	0.964957	0.071238	0.0922508	0.964957	0.422422	0.964957	0.678697	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.625207	0.964957	0.788757	0.964957	0.272206	0.964957	0.964957	0.964957	0.964957	0.964957	0.0922508	0.788757	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.964957	0.0922508	0.964957	0.0143341	0.964957	0.964957	0.964957	0.964957	0.0143341	0.964957	0.964957	0.964957	0.964957	0.124533	0.964957	0.964957	0.964957	0.964957	0.0188217	0.964957	0.0110587	0.0190858	0.189367	0.58352	0.964957	0.964957	0.964957
MA0269.1	0.856944	0.937853	0.937853	0.856944	0.0	0.0528642	0.937853	0.937853	0.176004	0.937853	0.937853	0.937853	0.937853	0.488296	0.937853	0.937853	0.508674	0.937853	0.937853	0.937853	0.937853	0.937853	0.937853	0.937853	0.937853	0.937853	0.3384	0.937853	0.937853	0.820931	0.597265	0.223578	0.937853	0.55465	0.937853	0.937853	0.937853	0.937853	0.937853	0.937853	0.563033	0.937853	0.0631664	0.937853	0.937853	0.937853	0.937853	0.937853	0.937853	0.937853	0.937853	0.51681	0.937853	0.937853	0.932199	0.712237	0.937853	0.937853	0.937853	0.650377	0.937853	0.355061	0.856944	0.937853	0.937853	0.937853	0.937853	0.937853	0.937853	0.00847836	0.750821	0.650377	0.670753	0.937853	0.488296	0.658352	0.126006	0.937853	0.0662394	0.937853	0.372402	0.0183971	0.0528642	0.937853	0.937853	0.937853	0.20198	0.937853	0.75743	0.937853	0.55465	0.937853	0.937853	0.937853	0.119593	0.856944	0.563033	0.937853	0.856944	0.937853	0.937853	0.937853	0.937853	0.937853	0.937853	0.856944	0.937853	0.0662394	0.0662394	0.937853	0.937853	0.937853	0.937853	0.55465	0.937853	0.335544	0.650377	0.937853	0.937853	0.937853	0.089847	0.937853	0.937853	0.724719	0.937853	0.0631664	0.937853	0.937853	0.937853	0.937853	0.3384	0.937853	0.937853	0.465797	0.937853	0.937853	0.937853	0.937853	0.937853	0.937853	0.670753	0.937853	0.3384	0.20198	0.937853	0.55465	0.937853	0.937853	0.488296	0.937853	0.937853	0.561378	0.937853	0.873011	0.937853	0.301815	0.937853	0.937853	0.937853	0.937853	0.733439	0.937853	0.937853	0.937853	0.20198	0.937853	0.603444	0.937853	0.937853	0.937853	0.65452	0.937853	0.465797	0.3384	0.71059	0.51681	0.937853	0.733093	0.937853
MA0270.1	0.996603	0.996603	0.996603	0.996603	0.454223	4.29302e-14	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.202895	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603	0.996603
MA0271.1	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	2.10172e-11	0.45634	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.45634	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582	0.996582
MA0272.1	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.121483	4.23461e-18	0.990983	0.990983	0.990983	0.990983	0.990983	0.00522417	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.740128	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.0244865	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983	0.990983
MA0273.1	0.250783	0.812899	0.812899	0.807911	0.153399	0.812899	0.812899	0.812899	0.0	0.812899	0.0750032	0.812899	0.812899	0.153399	0.35125	0.134355	0.153399	0.0244478	0.216798	0.812899	0.812899	0.812899	0.812899	0.812899	0.812899	0.812899	0.397733	0.29357	0.502942	0.400848	0.812899	0.195497	0.812899	0.171045	0.812899	0.732733	0.742507	0.812899	0.812899	0.812899	0.796034	0.812899	0.00172364	0.784096	0.812899	0.171045	0.0645741	0.287692	0.777019	0.780037	0.812899	0.812899	0.812899	0.397733	0.812899	0.812899	0.812899	0.630786	0.504331	0.812899	0.812899	0.812899	0.414504	0.812899	0.504331	0.812899	0.812899	0.812899	0.812899	0.0312611	0.758622	0.777019	0.758622	0.397733	0.812899	0.812899	0.195497	0.226054	0.780037	0.0645741	0.812899	0.035121	0.0579697	0.124318	0.812899	0.171045	0.812899	0.812899	0.812899	0.0335652	0.812899	0.397733	0.565409	0.0907596	0.0135377	0.812899	0.812899	0.812899	0.0342078	0.397733	0.812899	0.812899	0.812899	0.812899	0.812899	0.318965	0.630786	0.0312611	0.045136	0.812899	0.812899	0.153399	0.503632	0.0910552	0.812899	0.595231	0.326995	0.61661	0.812899	0.812899	0.414504	0.0312611	0.162462	0.812899	0.414504	0.00602589	0.812899	0.812899	0.812899	0.351481	0.0008363	0.812899	0.812899	0.035121	0.807911	0.397733	0.812899	0.812899	0.812899	0.812899	0.158901	0.40943	0.12057	0.0312611	0.183125	0.0312611	0.812899	0.812899	0.115619	0.812899	0.280261	0.565409	0.153399	0.812899	0.162462	0.124318	0.812899	0.162462	0.280261	0.216798	0.605138	0.158901	0.812899	0.812899	0.644212	0.780037	0.127966	0.158901	0.0495519	0.812899	0.565409	0.812899	0.351481	0.565409	0.812899	0.414504	0.171045	0.812899	0.812899
MA0274.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.32612e-21	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
