	MA0010.1	MA0011.1	MA0012.1	MA0013.1	MA0015.1	MA0016.1	MA0022.1	MA0023.1	MA0026.1	MA0049.1	MA0085.1	MA0086.2	MA0094.2	MA0126.1	MA0165.1	MA0166.1	MA0167.1	MA0168.1	MA0169.1	MA0170.1	MA0171.1	MA0172.1	MA0173.1	MA0174.1	MA0175.1	MA0176.1	MA0177.1	MA0178.1	MA0179.1	MA0180.1	MA0181.1	MA0182.1	MA0183.1	MA0184.1	MA0185.1	MA0186.1	MA0187.1	MA0188.1	MA0189.1	MA0190.1	MA0191.1	MA0192.1	MA0193.1	MA0194.1	MA0195.1	MA0196.1	MA0197.2	MA0198.1	MA0199.1	MA0200.1	MA0201.1	MA0202.1	MA0203.1	MA0204.1	MA0205.2	MA0206.1	MA0207.1	MA0208.1	MA0209.1	MA0210.1	MA0211.1	MA0212.1	MA0213.1	MA0214.1	MA0215.1	MA0216.2	MA0217.1	MA0218.1	MA0219.1	MA0220.1	MA0221.1	MA0222.1	MA0224.1	MA0225.1	MA0226.1	MA0227.1	MA0228.1	MA0229.1	MA0230.1	MA0231.1	MA0232.1	MA0233.1	MA0234.1	MA0235.1	MA0236.1	MA0237.2	MA0238.1	MA0239.1	MA0240.1	MA0241.1	MA0242.1	MA0243.1	MA0244.1	MA0245.1	MA0246.1	MA0247.2	MA0248.1	MA0249.2	MA0250.1	MA0251.1	MA0252.1	MA0253.1	MA0254.1	MA0255.1	MA0256.1	MA0257.1	MA0443.1	MA0444.1	MA0445.1	MA0446.1	MA0447.1	MA0448.1	MA0449.1	MA0450.1	MA0451.1	MA0452.2	MA0454.1	MA0456.1	MA0457.1	MA0458.1	MA0459.1	MA0460.1	MA0529.2	MA0530.1	MA0531.1	MA0532.1	MA0533.1	MA0534.1	MA0535.1	MA0536.1	MA0915.1	MA0916.1	MA0917.1	MA1455.1	MA1456.1	MA1457.1	MA1458.1	MA1459.1	MA1460.1	MA1461.1	MA1462.1	MA1700.1	MA1702.1	MA1836.1	MA1837.1	MA1838.1	MA1839.1	MA1840.1	MA1841.1	MA1842.1
MA0010.1	5.42863e-42	0.993266	0.185294	0.320175	0.993266	0.993266	0.993266	0.993266	0.993266	0.846477	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.630479	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.764905	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.524871	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.524871	0.524871	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266
MA0011.1	0.998325	4.03958e-22	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.722787	0.534853	0.998325	0.998325	0.998325	0.998325
MA0012.1	0.156258	0.954709	8.598829999999999e-31	0.156258	0.994975	0.994975	0.994975	0.994975	0.994975	0.954709	0.954709	0.994975	0.994975	0.994975	0.994975	0.994975	0.986741	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.954709	0.954709	0.994975	0.954709	0.954709	0.994975	0.954709	0.954709	0.739915	0.954709	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.954709	0.994975	0.954709	0.994975	0.994975	0.994975	0.994975	0.986741	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.954709	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.954709	0.954709	0.982922	0.954709	0.994975	0.994975	0.994975	0.994975	0.992558	0.994975	0.994975	0.954709	0.994975	0.954709	0.994975	0.954709	0.994975	0.994975	0.954709	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.954709	0.994975	0.954709	0.994975	0.994975	0.994975	0.994975	0.954709	0.954709	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.739915	0.954709	0.994975	0.954709	0.994975	0.994975	0.954709	0.994975	0.994975	0.994975	0.864412	0.739915	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.739915	0.739915	0.994975	0.994975	0.994975	0.994975
MA0013.1	0.408501	0.993266	0.408501	8.30716e-32	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.408501	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.97612	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.478837	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266	0.993266
MA0015.1	0.998325	0.998325	0.998325	0.998325	1.13283e-29	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325
MA0016.1	0.963656	0.963656	0.963656	0.963656	0.963656	4.52117e-25	0.770383	0.779603	0.963656	0.963656	0.707752	0.963656	0.963656	0.676169	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.676169	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.571887	0.963656	0.963656	0.374422	0.963656	0.963656	0.450866	0.963656	0.963656	0.963656	0.963656	0.450866	0.450866	0.963656	0.963656	0.963656	0.963656	0.644901	0.963656	0.963656	0.963656	0.635341	0.963656	0.963656	0.963656	0.442277	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.450866	0.963656	0.963656	0.963656	0.963656	0.676169	0.963656	0.963656	0.442277	0.963656	0.963656	0.963656	0.635341	0.963656	0.963656	0.963656	0.963656	0.963656	0.374422	0.963656	0.963656	0.963656	0.963656	0.963656	0.450866	0.963656	0.963656	0.963656	0.963656	0.963656	0.707752	0.442277	0.831661	0.442277	0.963656	0.370093	0.963656	0.80124	0.889536	0.963656	0.963656	0.450866	0.813867	0.963656	0.963656	0.529142	0.635341	0.963656	0.450866	0.963656	0.707752	0.963656	0.963656	0.963656	0.963656	0.374422	0.450866	0.450866	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.963656	0.770383	0.374422	0.963656
MA0022.1	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	7.17914e-35	0.00259624	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325	0.998325
MA0023.1	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.00261857	3.98216e-26	0.613179	0.994974	0.989706	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.399506	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974	0.994974
MA0026.1	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.321516	4.05206e-13	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.321516	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.121391	0.979798	0.979798	0.979798	0.979798	0.979798	0.000152929	0.979798	0.979798	0.979798	0.979798	0.302051	0.979798	0.979798	0.979798	0.321516	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798	0.979798
MA0049.1	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	5.74072e-26	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.277391	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.897869	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.277391	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975	0.994975
