id,log2FoldChange,padj
ENSG00000000003,-0.2,0.472804281
ENSG00000000419,0.2,0.46039097
ENSG00000000457,-0.1,0.841129918
ENSG00000000460,0.2,0.534296601
ENSG00000000971,-1.4,1.06E-05
ENSG00000001036,0.1,0.81968747
ENSG00000001167,-0.2,0.444068007
ENSG00000001460,-0.1,0.808782152
ENSG00000001497,0.3,0.219864284
ENSG00000001561,-0.3,0.156479606
ENSG00000001617,-0.1,0.791188287
ENSG00000001630,0.3,0.449202459
ENSG00000002016,-0.1,0.91481402
ENSG00000002079,0.1,0.844041878
ENSG00000002549,0.2,0.341860997
ENSG00000002586,-0.4,0.048463607
ENSG00000002587,0.1,0.826167538
ENSG00000002746,-0.3,0.497854809
ENSG00000002822,0.1,0.662322229
ENSG00000002919,-0.2,0.246271278
ENSG00000003056,0.1,0.713655765
ENSG00000003096,0.1,0.804965425
ENSG00000003137,-0.6,0.049666368
ENSG00000003147,0.2,0.75603693
ENSG00000003249,0.2,0.498149018
ENSG00000003393,-0.2,0.486611212
ENSG00000003400,0.3,0.319713313
ENSG00000003436,0.1,0.679047502
ENSG00000003509,0.2,0.497560503
ENSG00000003756,-0.1,0.68891757
ENSG00000003987,-0.1,0.954759859
ENSG00000003989,0.1,0.710190873
ENSG00000004059,0.1,0.881870744
ENSG00000004139,0.1,0.876191609
ENSG00000004399,0.2,0.293966239
ENSG00000004455,0.2,0.327145106
ENSG00000004478,0.4,0.087997778
ENSG00000004487,0.2,0.265581436
ENSG00000004534,0.1,0.849666692
ENSG00000004660,0.3,0.139999747
ENSG00000004700,-0.2,0.435059247
ENSG00000004766,-0.1,0.839366449
ENSG00000004777,0.3,0.561120197
ENSG00000004779,0.3,0.195469994
ENSG00000004838,-0.2,0.729116157
ENSG00000004864,0.1,0.836899159
ENSG00000004897,-0.2,0.45952577
ENSG00000004939,0.2,0.828801567
ENSG00000004961,0.1,0.568913797
ENSG00000005001,1.1,0.001601199
ENSG00000005007,0.2,0.236997832
ENSG00000005020,-0.2,0.477409079
ENSG00000005022,0.2,0.270922929
ENSG00000005059,0.2,0.370476092
ENSG00000005100,0.1,0.862145439
ENSG00000005102,-0.2,0.773595871
ENSG00000005108,-0.4,0.507785643
ENSG00000005156,0.5,0.038686127
ENSG00000005175,-0.1,0.824275038
ENSG00000005187,0.7,0.090663
ENSG00000005189,0.6,0.009127873
ENSG00000005194,-0.1,0.777698764
ENSG00000005206,-0.1,0.865705238
ENSG00000005238,-0.4,0.066584746
ENSG00000005302,-0.3,0.242541724
ENSG00000005339,-0.3,0.384236101
ENSG00000005379,0.4,0.434885407
ENSG00000005436,0.1,0.84354163
ENSG00000005448,-0.2,0.476578376
ENSG00000005469,-0.4,0.175149623
ENSG00000005483,-0.2,0.527224334
ENSG00000005513,0.3,0.565850001
ENSG00000005700,0.2,0.241470164
ENSG00000005812,-0.2,0.303526625
ENSG00000005882,-0.1,0.714238596
ENSG00000005884,-0.1,0.882196389
ENSG00000005889,-0.2,0.575790571
ENSG00000005893,-0.2,0.406484961
ENSG00000005961,0.1,0.93846612
ENSG00000006015,0.1,0.844870779
ENSG00000006016,-0.1,0.938896986
ENSG00000006042,-0.6,0.034008126
ENSG00000006062,0.5,0.117257795
ENSG00000006118,0.2,0.470097391
ENSG00000006194,0.1,0.875891309
ENSG00000006282,-0.1,0.586874633
ENSG00000006327,0.1,0.835716175
ENSG00000006432,0.2,0.246271278
ENSG00000006453,0.6,0.027220758
ENSG00000006459,-0.1,0.932570459
