# Expression Atlas			
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-48230			
# Timestamp: Fri, 22-Oct-2021 07:16:49			
geneName	Gene Name	log2FoldChange	padj
ENSG00000000003	TSPAN6	-0.2	0.472804280745416
ENSG00000000419	DPM1	0.2	0.460390969904235
ENSG00000000457	SCYL3	-0.1	0.841129917975238
ENSG00000000460	C1orf112	0.2	0.534296601207499
ENSG00000000971	CFH	-1.4	1.05671829224039E-05
ENSG00000001036	FUCA2	0.1	0.819687470470562
ENSG00000001167	NFYA	-0.2	0.444068006702744
ENSG00000001460	STPG1	-0.1	0.808782152126592
ENSG00000001497	LAS1L	0.3	0.219864284201829
ENSG00000001561	ENPP4	-0.3	0.156479605524282
ENSG00000001617	SEMA3F	-0.1	0.791188287304317
ENSG00000001630	CYP51A1	0.3	0.449202459103054
ENSG00000002016	RAD52	-0.1	0.914814020258139
ENSG00000002079	MYH16	0.1	0.844041877940029
ENSG00000002549	LAP3	0.2	0.341860996916987
ENSG00000002586	CD99	-0.4	0.048463606571784
ENSG00000002587	HS3ST1	0.1	0.826167537792822
ENSG00000002746	HECW1	-0.3	0.497854808683707
ENSG00000002822	MAD1L1	0.1	0.662322228721997
ENSG00000002919	SNX11	-0.2	0.246271277891896
ENSG00000003056	M6PR	0.1	0.713655765252037
ENSG00000003096	KLHL13	0.1	0.804965424797116
ENSG00000003137	CYP26B1	-0.6	0.049666368424654
ENSG00000003147	ICA1	0.2	0.756036930212028
ENSG00000003249	DBNDD1	0.2	0.498149018181232
ENSG00000003393	ALS2	-0.2	0.486611212023272
ENSG00000003400	CASP10	0.3	0.319713312821273
ENSG00000003436	TFPI	0.1	0.679047502198693
ENSG00000003509	NDUFAF7	0.2	0.497560503263421
ENSG00000003756	RBM5	-0.1	0.688917570398441
ENSG00000003987	MTMR7	-0.1	0.95475985917973
ENSG00000003989	SLC7A2	0.1	0.710190873396262
ENSG00000004059	ARF5	0.1	0.881870744096537
ENSG00000004139	SARM1	0.1	0.876191609298919
ENSG00000004399	PLXND1	0.2	0.293966239348001
ENSG00000004455	AK2	0.2	0.327145106029738
ENSG00000004478	FKBP4	0.4	0.087997778328814
ENSG00000004487	KDM1A	0.2	0.265581436462434
ENSG00000004534	RBM6	0.1	0.849666691988158
ENSG00000004660	CAMKK1	0.3	0.13999974724458
ENSG00000004700	RECQL	-0.2	0.435059247414167
ENSG00000004766	VPS50	-0.1	0.839366448766636
ENSG00000004777	ARHGAP33	0.3	0.561120197016219
ENSG00000004779	NDUFAB1	0.3	0.195469994390915
ENSG00000004838	ZMYND10	-0.2	0.72911615708329
ENSG00000004864	SLC25A13	0.1	0.83689915868618
ENSG00000004897	CDC27	-0.2	0.459525770027926
ENSG00000004939	SLC4A1	0.2	0.828801567421642
ENSG00000004961	HCCS	0.1	0.568913797294534
ENSG00000005001	PRSS22	1.1	0.001601198702624
ENSG00000005007	UPF1	0.2	0.236997832182191
ENSG00000005020	SKAP2	-0.2	0.477409078774279
ENSG00000005022	SLC25A5	0.2	0.27092292917381
ENSG00000005059	MCUB	0.2	0.370476091990657
ENSG00000005100	DHX33	0.1	0.862145438621721
ENSG00000005102	MEOX1	-0.2	0.7735958711199
ENSG00000005108	THSD7A	-0.4	0.507785642770863
ENSG00000005156	LIG3	0.5	0.038686127346883
ENSG00000005175	RPAP3	-0.1	0.824275038352777
ENSG00000005187	ACSM3	0.7	0.090663000407405
ENSG00000005189	REXO5	0.6	0.009127872845395
ENSG00000005194	CIAPIN1	-0.1	0.777698763649647
