motif_id	tf_name	tf_class	tf_family	jaspar_cluster	auc_roc	auc_prc	p_value_roc	p_value_prc	p_value_roc_adj	p_value_prc_adj
MA0935.1	NAC025	GCM domain factors	NAC	cluster_20	0.5564369973508553	0.5525209002782051	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA0931.2	ABI5	Basic leucine zipper factors (bZIP)	Group A	cluster_07	0.5509278064847265	0.5498531255722792	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA1785.2	NAC018	GCM domain factors	NAC	cluster_20	0.5504323724276677	0.5460494854063483	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA0941.2	ABF2	Basic leucine zipper factors (bZIP)	Group A	cluster_07	0.5499480683182592	0.5571471545553422	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA1786.2	NAC019	GCM domain factors	NAC	cluster_20	0.5498567882144153	0.5444199010093766	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA2087.1	PK24205.1	Basic leucine zipper factors (bZIP)	Group A	cluster_07	0.5496193412572747	0.5413250511929149	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA1734.1	AT1G19040	GCM domain factors	NAC	cluster_16	0.5495234953315992	0.5416778764822082	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA0966.2	BIM3	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5494207461739745	0.583671634724895	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA1787.2	NAC047	GCM domain factors	NAC	cluster_20	0.54916235941326	0.5453416604134537	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA1816.2	O11	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.547609580329519	0.5830134704655862	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA2092.1	PK27149.1	Basic leucine zipper factors (bZIP)	Group S	cluster_07	0.5471147518191231	0.5361318630721963	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA2384.1	estExt_Genewise1.C_2060077	Basic leucine zipper factors (bZIP)	bZIP	cluster_07	0.5466376173821927	0.5459952719072548	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA2105.1	GLYMA-13G317000	Basic leucine zipper factors (bZIP)	Group A	cluster_07	0.5460286917697246	0.6311176559687108	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA1344.2	BZIP28	Basic leucine zipper factors (bZIP)	Group B	cluster_07	0.5459842688665926	0.5340018806903235	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA1791.1	NAC087	GCM domain factors	NAC	cluster_16	0.5450327249527119	0.5386824325918294	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA1338.3	DPBF3	Basic leucine zipper factors (bZIP)	Group A	cluster_07	0.5445470401969134	0.5337299639350437	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA0581.2	LEC2	B3	LAV	cluster_29	0.5442393377160379	0.614320539594111	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA0570.3	ABF1	Basic leucine zipper factors (bZIP)	Group A	cluster_07	0.5441966587872942	0.5344780710352426	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA0561.1	PIF4	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.544123508750513	0.5432802370046012	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
MA2389.1	GBF1	Basic leucine zipper factors (bZIP)	NA	cluster_07	0.5435047975039852	0.5509985592654953	0.000999000999000999	0.000999000999000999	0.003229821026431196	0.003849685667867486
