motif_id	tf_name	tf_class	tf_family	jaspar_cluster	auc_roc	auc_prc	p_value_roc	p_value_prc	p_value_roc_adj	p_value_prc_adj
MA0555.2	SVP	MADS box factors	Type II	cluster_23	0.621977875516459	0.6216263503306027	0.000999000999000999	0.000999000999000999	0.03811188811188811	0.025407925407925407
MA0001.3	AGL3	MADS box factors	Type II	cluster_23	0.6171864587498326	0.5772847978281159	0.000999000999000999	0.003996003996003996	0.03811188811188811	0.05978335390100096
MA1012.1	AGL27	MADS box factors	MIKC	cluster_23	0.6158736505397835	0.5983107874056239	0.000999000999000999	0.000999000999000999	0.03811188811188811	0.025407925407925407
MA1301.2	WRKY33	GCM domain factors	WRKY	cluster_10	0.6112355057976803	0.6059431876495388	0.000999000999000999	0.000999000999000999	0.03811188811188811	0.025407925407925407
MA0556.2	AP3	MADS box factors	Type II	cluster_23	0.6059576169532179	0.6001446237800293	0.000999000999000999	0.000999000999000999	0.03811188811188811	0.025407925407925407
MA0955.2	POPTR_0002s00440g	C3H(C),C2HC zinc fingers factors	SBP	cluster_28	0.6052112488337998	0.6283351035083733	0.000999000999000999	0.000999000999000999	0.03811188811188811	0.025407925407925407
MA0584.2	SEP1	MADS box factors	Type II	cluster_23	0.6043382646941206	0.5975356183672099	0.000999000999000999	0.000999000999000999	0.03811188811188811	0.025407925407925407
MA1203.1	AGL63	MADS box factors	MIKC	cluster_23	0.6042782886845254	0.6176033005106968	0.000999000999000999	0.000999000999000999	0.03811188811188811	0.025407925407925407
MA1304.2	WRKY59	GCM domain factors	WRKY	cluster_10	0.6010795681727303	0.6486025027278163	0.000999000999000999	0.000999000999000999	0.03811188811188811	0.025407925407925407
MA1330.2	ZHD6	Homeo domain factors	PLINC	cluster_09	0.5983606557377055	0.5848588725472403	0.000999000999000999	0.000999000999000999	0.03811188811188811	0.025407925407925407
MA0553.1	SMZ	AP2/EREBP	AP2	cluster_36	0.5967746234839398	0.5582375577940565	0.000999000999000999	0.016983016983016984	0.03811188811188811	0.1727738927738928
MA1317.2	WRKY50	GCM domain factors	WRKY	cluster_10	0.595921631347461	0.6250506052322311	0.000999000999000999	0.000999000999000999	0.03811188811188811	0.025407925407925407
MA1297.2	WRKY26	GCM domain factors	WRKY	cluster_10	0.5958150073304015	0.59494082254719	0.001998001998001998	0.000999000999000999	0.04483751542575072	0.025407925407925407
MA1309.1	WRKY3	GCM domain factors	WRKY	cluster_10	0.595081967213114	0.5721103876169776	0.000999000999000999	0.003996003996003996	0.03811188811188811	0.05978335390100096
MA1298.2	WRKY29	GCM domain factors	WRKY	cluster_10	0.5945954951352792	0.5761380075469174	0.000999000999000999	0.000999000999000999	0.03811188811188811	0.025407925407925407
MA1199.1	AGL16	MADS box factors	MIKC	cluster_23	0.5938158070105296	0.6034577465799553	0.001998001998001998	0.000999000999000999	0.04483751542575072	0.025407925407925407
MA2344.1	REV	Homeo domain factors	HD-ZIP	cluster_09	0.5936492069838721	0.5435178737676529	0.001998001998001998	0.03696303696303696	0.04483751542575072	0.30002975747656596
MA1315.2	WRKY24	GCM domain factors	WRKY	cluster_10	0.5935159269625483	0.583490914654484	0.000999000999000999	0.000999000999000999	0.03811188811188811	0.025407925407925407
MA1087.3	WRKY45	GCM domain factors	WRKY	cluster_10	0.5927029188324677	0.5826383006370899	0.001998001998001998	0.002997002997002997	0.04483751542575072	0.05444555444555445
MA1279.2	DOF1.5	Other C4 zinc finger-type factors	DOF	cluster_08	0.5924296947887512	0.5963092657647793	0.001998001998001998	0.000999000999000999	0.04483751542575072	0.025407925407925407
MA0548.3	AGL15	MADS box factors	Type II	cluster_23	0.5919832067173133	0.5983691643595019	0.000999000999000999	0.000999000999000999	0.03811188811188811	0.025407925407925407
MA1296.2	WRKY46	GCM domain factors	WRKY	cluster_10	0.5903638544582164	0.5948568035469632	0.001998001998001998	0.000999000999000999	0.04483751542575072	0.025407925407925407
MA0558.2	FLC	MADS box factors	Type II	cluster_23	0.5900706384113019	0.578689573834842	0.001998001998001998	0.001998001998001998	0.04483751542575072	0.04355644355644356
MA0554.2	SOC1	MADS box factors	Type II	cluster_23	0.589510862321737	0.5657268190251641	0.001998001998001998	0.005994005994005994	0.04483751542575072	0.07885218230045817
MA2358.1	PK22320.1	C3H(C),C2HC zinc-fingers like factors	SBP	cluster_28	0.588791150206584	0.620067405851497	0.000999000999000999	0.000999000999000999	0.03811188811188811	0.025407925407925407
MA1387.2	HRS1	Tryptophan cluster factors	GARP_G2-like	cluster_04	0.5863587898174053	0.5503414541269431	0.001998001998001998	0.027972027972027972	0.04483751542575072	0.24817043421694587
MA1303.2	WRKY22	GCM domain factors	WRKY	cluster_10	0.5844728775156609	0.5645089259685889	0.001998001998001998	0.004995004995004995	0.04483751542575072	0.06805694305694306
MA1392.3	MYB98	Tryptophan cluster factors	MYB	cluster_11	0.5836998533919768	0.5702744625221554	0.000999000999000999	0.003996003996003996	0.03811188811188811	0.05978335390100096
MA1316.2	WRKY71	GCM domain factors	WRKY	cluster_10	0.5836132213781152	0.5807416584863319	0.002997002997002997	0.001998001998001998	0.05863367401828941	0.04355644355644356
MA1306.2	WRKY11	GCM domain factors	WRKY	cluster_10	0.5835532453685197	0.5874202681038485	0.001998001998001998	0.000999000999000999	0.04483751542575072	0.025407925407925407
MA0586.3	SPL14	C3H(C),C2HC zinc fingers factors	SBP	cluster_28	0.5832800213248034	0.5816322077496938	0.005994005994005994	0.003996003996003996	0.08166833166833166	0.05978335390100096
