motif_id	tf_name	tf_class	tf_family	jaspar_cluster	auc_roc	auc_prc	p_value_roc	p_value_prc	p_value_roc_adj	p_value_prc_adj
MA0560.2	PIF3	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.7194632768361582	0.7070949536409827	0.000999000999000999	0.000999000999000999	0.0293168370091447	0.07622377622377623
MA1686.1	ARF13	B3	ARF	cluster_01	0.6858757062146895	0.6647036076994485	0.000999000999000999	0.000999000999000999	0.0293168370091447	0.07622377622377623
MA0562.1	PIF5	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.6857909604519773	0.6562468867503545	0.000999000999000999	0.000999000999000999	0.0293168370091447	0.07622377622377623
MA1359.3	BPE	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.6783050847457627	0.6599929080960687	0.000999000999000999	0.000999000999000999	0.0293168370091447	0.07622377622377623
MA1011.2	PHYPADRAFT_72483	Basic helix-loop-helix factors (bHLH)	NA	cluster_07	0.6766666666666667	0.6593153950811501	0.000999000999000999	0.003996003996003996	0.0293168370091447	0.12703962703962704
MA1695.2	ARF36	B3	ARF	cluster_01	0.6712711864406786	0.6468208610066712	0.000999000999000999	0.000999000999000999	0.0293168370091447	0.07622377622377623
MA1364.2	BHLH72	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.6645197740112996	0.6195946053140655	0.000999000999000999	0.000999000999000999	0.0293168370091447	0.07622377622377623
MA0965.3	BIM2	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.6615254237288135	0.6488867648534482	0.000999000999000999	0.006993006993006993	0.0293168370091447	0.13013815452839844
MA0561.1	PIF4	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.6562994350282487	0.627283897393866	0.000999000999000999	0.002997002997002997	0.0293168370091447	0.1088911088911089
MA2393.1	PHYPA_008731	Basic helix-loop-helix factors (bHLH)	NA	cluster_07	0.6533333333333334	0.6100494024186619	0.000999000999000999	0.004995004995004995	0.0293168370091447	0.12703962703962704
MA1021.2	PHYPADRAFT_48267	Basic helix-loop-helix factors (bHLH)	NA	cluster_07	0.6507062146892655	0.5792656532580845	0.000999000999000999	0.03196803196803197	0.0293168370091447	0.23681173195736302
MA0956.2	BEE2	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.6503107344632768	0.6465586205747947	0.000999000999000999	0.00999000999000999	0.0293168370091447	0.1385886840432295
MA0568.2	MYC3	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.6500282485875706	0.6465264127363609	0.000999000999000999	0.008991008991008992	0.0293168370091447	0.1385886840432295
MA1696.2	ARF39	B3	ARF	cluster_01	0.6472033898305096	0.6287165041247333	0.000999000999000999	0.001998001998001998	0.0293168370091447	0.10163170163170163
MA1360.3	bHLH74	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.6467514124293786	0.6455939180682461	0.000999000999000999	0.005994005994005994	0.0293168370091447	0.12703962703962704
MA1287.2	TCP21	TCP	NA	cluster_01	0.6443502824858757	0.6348657570610884	0.000999000999000999	0.000999000999000999	0.0293168370091447	0.07622377622377623
MA1168.2	MYR2	Tryptophan cluster factors	GARP_G2-like	cluster_04	0.6429096045197739	0.6274709824996055	0.000999000999000999	0.002997002997002997	0.0293168370091447	0.1088911088911089
MA2342.1	URI	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.6390112994350282	0.637176652901152	0.000999000999000999	0.01098901098901099	0.0293168370091447	0.14456233421750664
MA0962.2	bHLH34	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.6356497175141244	0.5677243982158814	0.000999000999000999	0.053946053946053944	0.0293168370091447	0.30265322912381737
MA2060.1	PK05451.1	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.6350564971751412	0.6022303743730439	0.000999000999000999	0.003996003996003996	0.0293168370091447	0.12703962703962704
MA1061.2	SPT	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.6342090395480225	0.5815369940269834	0.000999000999000999	0.03596403596403597	0.0293168370091447	0.2540792540792541
MA0587.2	TCP16	TCP	NA	cluster_01	0.6296610169491527	0.6052462785977897	0.000999000999000999	0.001998001998001998	0.0293168370091447	0.10163170163170163
MA1288.2	TCP22	TCP	NA	cluster_01	0.6293220338983054	0.6151351153115474	0.000999000999000999	0.000999000999000999	0.0293168370091447	0.07622377622377623
MA1054.2	ARALYDRAFT_897773	TCP	NA	cluster_01	0.6286723163841805	0.5957597972349624	0.000999000999000999	0.005994005994005994	0.0293168370091447	0.12703962703962704
MA2413.1	ZmbZIP96	Basic leucine zipper factors (bZIP)	D	cluster_07	0.6281638418079102	0.5803705132652546	0.000999000999000999	0.015984015984015984	0.0293168370091447	0.16612874305182
MA1291.1	TCP7	TCP	NA	cluster_01	0.6274858757062151	0.6226976660062473	0.001998001998001998	0.000999000999000999	0.04355644355644356	0.07622377622377623
