motif_id	tf_name	tf_class	tf_family	jaspar_cluster	auc_roc	auc_prc	p_value_roc	p_value_prc	p_value_roc_adj	p_value_prc_adj
MA1024.2	HAT1	Homeo domain factors	HD-ZIP	cluster_09	0.5929401163800591	0.6136486106636362	0.000999000999000999	0.000999000999000999	0.04483751542575072	0.03811188811188811
MA1211.2	ATHB-X	Homeo domain factors	HD-ZIP	cluster_09	0.5771821261073479	0.5706494764171441	0.000999000999000999	0.000999000999000999	0.04483751542575072	0.03811188811188811
MA0110.4	ATHB-5	Homeo domain factors	HD-ZIP	cluster_09	0.5756329251346188	0.6051235908411307	0.000999000999000999	0.000999000999000999	0.04483751542575072	0.03811188811188811
MA0954.3	ATHB-7	Homeo domain factors	HD-ZIP	cluster_09	0.573906765676569	0.5630676465920774	0.000999000999000999	0.000999000999000999	0.04483751542575072	0.03811188811188811
MA1406.2	ATHB-4	Homeo domain factors	HD-ZIP	cluster_09	0.5721860343929139	0.5718566485526682	0.000999000999000999	0.000999000999000999	0.04483751542575072	0.03811188811188811
MA2052.2	ZAT6	C2H2 zinc finger factors	C2H2	cluster_09	0.57145431648428	0.6044433079146455	0.000999000999000999	0.000999000999000999	0.04483751542575072	0.03811188811188811
MA1019.2	Glyma19g26560.1	TCP	NA	cluster_01	0.5662671530310929	0.5574288323031638	0.000999000999000999	0.000999000999000999	0.04483751542575072	0.03811188811188811
MA2390.1	GLYMA19G26560	Basic leucine zipper factors (bZIP)	NA	cluster_01	0.5659610039951369	0.5575348698418283	0.001998001998001998	0.000999000999000999	0.0662815445424141	0.03811188811188811
MA1210.3	HAT22	Homeo domain factors	HD-ZIP	cluster_09	0.5653758467952064	0.5429903844655676	0.000999000999000999	0.025974025974025976	0.04483751542575072	0.25737898465171194
MA1214.2	ATHB-40	Homeo domain factors	HD-ZIP	cluster_09	0.5637169966996693	0.5388505836000587	0.000999000999000999	0.008991008991008992	0.04483751542575072	0.1400028542885686
MA1799.2	SPL10	C3H(C),C2HC zinc fingers factors	SBP	cluster_28	0.5623653812749696	0.5771093263989197	0.000999000999000999	0.000999000999000999	0.04483751542575072	0.03811188811188811
MA1428.2	TCP8	TCP	NA	cluster_01	0.562167795726942	0.5545556184249028	0.000999000999000999	0.001998001998001998	0.04483751542575072	0.0586336740182894
MA0562.1	PIF5	Basic helix-loop-helix factors (bHLH)	bHLH	cluster_07	0.5619191853395867	0.5532624193461957	0.000999000999000999	0.002997002997002997	0.04483751542575072	0.07145979020979021
MA1751.2	EIL3	EIL	NA	cluster_26	0.5612884314747264	0.5421955223371084	0.000999000999000999	0.01998001998001998	0.04483751542575072	0.22093848180804704
MA1287.2	TCP21	TCP	NA	cluster_01	0.5606772190376951	0.5405261387483051	0.000999000999000999	0.004995004995004995	0.04483751542575072	0.09527972027972027
MA0950.1	ATHB-12	Homeo domain factors	HD-ZIP	cluster_09	0.5601148601702278	0.5923469815832848	0.000999000999000999	0.000999000999000999	0.04483751542575072	0.03811188811188811
MA1063.2	TCP19	TCP	NA	cluster_01	0.5598369376411332	0.5546666563462497	0.002997002997002997	0.000999000999000999	0.08166833166833166	0.03811188811188811
