motif_id	tf_name	tf_class	tf_family	auc_roc	auc_prc	p_value_roc	p_value_prc	p_value_roc_adj	p_value_prc_adj
TBP.H12CORE.0.P.B	TBP	TATA-binding proteins	TBP-related	0.6112387158805631	0.6081481718732604	9.999000099990002e-05	9.999000099990002e-05	0.024047595240475953	0.020612224491836532
TF65.H12CORE.0.P.B	RELA	Rel homology region (RHR) factors	NFkappaB-related	0.6096268895892308	0.6556137896855186	9.999000099990002e-05	9.999000099990002e-05	0.024047595240475953	0.020612224491836532
NFKB2.H12CORE.0.PSM.A	NFKB2	Rel homology region (RHR) factors	NFkappaB-related	0.6076852198066329	0.6107023114665914	9.999000099990002e-05	9.999000099990002e-05	0.024047595240475953	0.020612224491836532
NFKB1.H12CORE.0.PS.A	NFKB1	Rel homology region (RHR) factors	NFkappaB-related	0.595252657443512	0.6272696207388572	9.999000099990002e-05	9.999000099990002e-05	0.024047595240475953	0.020612224491836532
NFAC1.H12CORE.3.SM.B	NFATC1	Rel homology region (RHR) factors	NFAT-related	0.591202393034555	0.5977432410951868	9.999000099990002e-05	9.999000099990002e-05	0.024047595240475953	0.020612224491836532
RELB.H12CORE.0.P.B	RELB	Rel homology region (RHR) factors	NFkappaB-related	0.5891205063832025	0.6213687181294765	0.00019998000199980003	9.999000099990002e-05	0.041224448983673063	0.020612224491836532
REL.H12CORE.0.P.B	REL	Rel homology region (RHR) factors	NFkappaB-related	0.5836119865391771	0.5965704983437593	9.999000099990002e-05	9.999000099990002e-05	0.024047595240475953	0.020612224491836532
STA5A.H12CORE.0.P.B	STAT5A	STAT domain factors	STAT	0.5697452059184851	0.5495847846666482	0.0015998400159984002	0.0052994700529947	0.15230143652301437	0.2552744725527447
ATF1.H12CORE.0.P.B	ATF1	Basic leucine zipper factors (bZIP)	CREB-related	0.5684699001121747	0.5594460714446842	0.0008999100089991	0.0013998600139986002	0.12985701429857013	0.201999800019998
STA5B.H12CORE.0.P.B	STAT5B	STAT domain factors	STAT	0.5683230062496624	0.5483099874076437	0.0008999100089991	0.006899310068993101	0.12985701429857013	0.2552744725527447
STAT1.H12CORE.0.P.B	STAT1	STAT domain factors	STAT	0.5669435393408457	0.564174487260588	0.0008999100089991	0.000999900009999	0.12985701429857013	0.16031730160317303
STAT6.H12CORE.0.P.B	STAT6	STAT domain factors	STAT	0.5664307462208225	0.5559837426811363	0.0015998400159984002	0.0020997900209979003	0.15230143652301437	0.2291594369974767
HXD13.H12CORE.0.PS.A	HOXD13	Homeo domain factors	HOX-related	0.5663386037070639	0.5428882796490399	0.0014998500149985001	0.0131986801319868	0.15230143652301437	0.30718863597511215
STAT4.H12CORE.0.P.B	STAT4	STAT domain factors	STAT	0.5646266225094813	0.5494838891557695	0.0013998600139986002	0.0045995400459954	0.15230143652301437	0.25116377251163774
NR1I3.H12CORE.1.PSM.A	NR1I3	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related	0.5639442337481955	0.543623155924245	0.0017998200179982	0.009499050094990502	0.15230143652301437	0.26876724092296655
NFAT5.H12CORE.1.PS.A	NFAT5	Rel homology region (RHR) factors	NFAT-related	0.5637252283531852	0.5520169311095116	0.0018998100189981002	0.0035996400359964	0.15230143652301437	0.25116377251163774
KLF17.H12CORE.1.P.C	KLF17	C2H2 zinc finger factors	Three-zinc finger Kruppel-related	0.5635115645531761	0.5352034530601462	0.0018998100189981002	0.048795120487951205	0.15230143652301437	0.480951904809519
ZN444.H12CORE.0.S.C	ZNF444	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.563001442230647	0.5517447680838816	0.0016998300169983002	0.0035996400359964	0.15230143652301437	0.25116377251163774
ZNF35.H12CORE.1.P.C	ZNF35	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.5615031248330741	0.5394140465716473	0.0023997600239976003	0.018998100189981004	0.18225545866465984	0.3426782321767824
NFAC2.H12CORE.2.S.C	NFATC2	Rel homology region (RHR) factors	NFAT-related	0.5602745579830123	0.5492585369952612	0.0032996700329967	0.005499450054994501	0.2132917143068302	0.2552744725527447
