motif_id	tf_name	tf_class	tf_family	auc_roc	auc_prc	p_value_roc	p_value_prc	p_value_roc_adj	p_value_prc_adj
IRF4.H12CORE.0.P.B	IRF4	Tryptophan cluster factors	IRF	0.7096976854038742	0.7535454102187268	9.999000099990002e-05	9.999000099990002e-05	0.006273285714906771	0.006273285714906771
IRF8.H12CORE.0.P.B	IRF8	Tryptophan cluster factors	IRF	0.6916367501180926	0.742439423643163	9.999000099990002e-05	9.999000099990002e-05	0.006273285714906771	0.006273285714906771
IRF1.H12CORE.0.P.B	IRF1	Tryptophan cluster factors	IRF	0.6822224846480892	0.7405850915674359	9.999000099990002e-05	9.999000099990002e-05	0.006273285714906771	0.006273285714906771
IRF2.H12CORE.0.PSM.A	IRF2	Tryptophan cluster factors	IRF	0.6804227680680236	0.7442735436615048	9.999000099990002e-05	9.999000099990002e-05	0.006273285714906771	0.006273285714906771
STAT1.H12CORE.1.P.B	STAT1	STAT domain factors	STAT	0.6775153519130878	0.7423351000162979	9.999000099990002e-05	9.999000099990002e-05	0.006273285714906771	0.006273285714906771
STAT2.H12CORE.0.P.B	STAT2	STAT domain factors	STAT	0.677387812942847	0.7402378439890935	9.999000099990002e-05	9.999000099990002e-05	0.006273285714906771	0.006273285714906771
IRF9.H12CORE.0.PSM.A	IRF9	Tryptophan cluster factors	IRF	0.6770760510155903	0.7395971532429045	9.999000099990002e-05	9.999000099990002e-05	0.006273285714906771	0.006273285714906771
IRF8.H12CORE.1.SM.B	IRF8	Tryptophan cluster factors	IRF	0.6711053377420894	0.7366027687565876	9.999000099990002e-05	9.999000099990002e-05	0.006273285714906771	0.006273285714906771
IRF4.H12CORE.1.S.B	IRF4	Tryptophan cluster factors	IRF	0.6683230987246117	0.7126820724267697	9.999000099990002e-05	9.999000099990002e-05	0.006273285714906771	0.006273285714906771
IRF7.H12CORE.1.SM.B	IRF7	Tryptophan cluster factors	IRF	0.6678696268304234	0.7181654437020539	9.999000099990002e-05	9.999000099990002e-05	0.006273285714906771	0.006273285714906771
IRF5.H12CORE.0.SM.B	IRF5	Tryptophan cluster factors	IRF	0.6670642418516775	0.7231469309864903	9.999000099990002e-05	9.999000099990002e-05	0.006273285714906771	0.006273285714906771
IRF8.H12CORE.2.SM.B	IRF8	Tryptophan cluster factors	IRF	0.6634553613604174	0.7268822053608688	9.999000099990002e-05	9.999000099990002e-05	0.006273285714906771	0.006273285714906771
IRF3.H12CORE.0.PS.A	IRF3	Tryptophan cluster factors	IRF	0.6521445441662745	0.7127705483388804	9.999000099990002e-05	9.999000099990002e-05	0.006273285714906771	0.006273285714906771
PRDM1.H12CORE.1.PS.A	PRDM1	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	0.6495819555975455	0.6542020359469818	9.999000099990002e-05	9.999000099990002e-05	0.006273285714906771	0.006273285714906771
