	MA0260.1	MA0261.1	MA0262.1	MA0263.1	MA0264.1	MA0537.1	MA0538.1	MA0540.1	MA0541.1	MA0542.1	MA0543.1	MA0544.1	MA0545.1	MA0546.1	MA0547.1	MA0918.1	MA0919.1	MA0920.1	MA0921.1	MA0922.1	MA0923.1	MA0924.1	MA0925.1	MA0926.1	MA0927.1	MA0928.1	MA1438.1	MA1439.1	MA1440.1	MA1441.1	MA1442.1	MA1443.1	MA1444.1	MA1445.1	MA1446.1	MA1448.1	MA1449.1	MA1450.1	MA1451.1	MA1699.1	MA1701.1	MA1703.1	MA1704.1
MA0260.1	3.12766e-09	0.430183	1.0	0.382811	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0261.1	0.877605	5.52915e-10	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.877605	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.877605	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0262.1	0.999991	0.999991	5.63395e-29	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991	0.0310797	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991	0.892573	0.999991	0.999991	0.999991	0.287315	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991	0.999991
MA0263.1	0.665963	1.0	1.0	4.26436e-37	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.833569	1.0	0.51032	1.0	0.548785	1.0	0.51032	1.0	1.0	1.0	0.51032	0.51032	1.0	1.0	1.0	1.0	0.538436	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0264.1	0.999866	0.999866	0.999866	0.999866	1.02566e-25	0.999866	0.999866	0.999866	0.999866	0.999866	0.999866	0.999866	0.999866	0.999866	0.999866	0.999866	0.667816	0.999866	0.999866	0.999866	0.667816	0.999866	0.999866	0.999866	0.874095	0.667816	0.870732	0.999866	0.999866	0.870732	0.999866	0.999866	0.999866	0.999866	0.999866	0.999866	0.0461854	0.870732	0.999866	0.999866	0.999866	0.999866	0.999866
MA0537.1	1.0	1.0	1.0	1.0	1.0	5.0654e-27	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0538.1	1.0	1.0	1.0	1.0	1.0	1.0	1.52422e-37	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.304259	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.23507	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0540.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.69613e-39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0541.1	1.0	1.0	0.961796	1.0	0.903737	1.0	1.0	0.928835	4.1686199999999996e-39	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.961796	1.0	1.0	1.0	0.799056	1.0	1.0	1.0	1.0	1.0	0.923659
MA0542.1	1.0	1.0	1.0	1.0	1.0	0.815553	1.0	1.0	1.0	9.06086e-13	1.0	1.0	1.0	0.815553	0.392892	0.815553	0.813654	0.815553	1.0	0.993092	0.813654	0.813654	1.0	1.0	0.813654	0.813654	0.815553	0.00447486	0.813654	1.0	0.934309	0.813654	1.0	0.993092	1.0	1.0	1.0	1.0	1.0	0.815553	0.00081229	0.00081229	1.0
